detection_FAR,detection_DR,detection_precision,detection_F1,detection_delay,isolation_microF1,isolation_macroF1,hamming_loss,stage_weighted_kappa,stage_MAE,stage_reversals,unknown_rate,regime,subset,unit
0.432432432432432,1,0.783783783783784,0.878787878787879,-16,0.418772563176895,0.21969696969697,0.188304093567251,0.84385506163616,0.315789473684211,0,0,test_id,DS01-005_id,4
0,0.865671641791045,1,0.928,9,0.714754098360656,0.298734463276836,0.116465863453815,0.944703530979347,0.144578313253012,0,0.0602409638554217,test_id,DS04_id,6
0,0.758064516129032,1,0.862385321100917,15,0.705882352941177,0.560477646716179,0.104166666666667,0.865694551036071,0.3125,0,0,test_id,DS05_id,2
0,0.924528301886792,1,0.96078431372549,4,0.801724137931035,0.467000202142713,0.0655270655270655,0.902985074626866,0.205128205128205,0,0.0384615384615385,test_id,DS07_id,3
0,0.981818181818182,1,0.990825688073394,1,0.857142857142857,0.526875658520289,0.0804597701149425,0.951882578174856,0.126436781609195,0,0,test_id,DS06_id,4
0.611111111111111,1,0.788461538461538,0.881720430107527,-11,0.924812030075188,0.926927782815851,0.0376647834274953,0.662566094744793,0.525423728813559,0,0,ood_combo,DS02,11
0.470588235294118,1,0.859649122807018,0.924528301886792,-8,0.795454545454546,0.706901306240929,0.121212121212121,0.929336188436831,0.166666666666667,0,0,ood_combo,DS03,10
