family,omitted_components,lambda,threshold,n_calibration_known,n_test_known,n_test_unknown,AUROC,AUPRC,known_accept_rate,unknown_reject_rate
HPT_eff,1,0.001,0.440886844542,4,4,1,0,0.1,0.5,0
Fan,[2 3],0.001,0.561378662434748,4,4,1,1,1,0.75,1
HPC,[4 5],0.001,0.482054550973832,3,3,2,1,1,0.333333333333333,1
LPT,[6 7],0.001,0.496514732207292,4,4,1,1,1,0.75,1
LPC,[8 9],0.001,0.481297674133184,4,4,1,1,1,0.5,1
