stage_components,regime,n_units,weighted_kappa,stage_MAE
2,test_id,5,0.908438362116522,0.139786490650582
2,ood_combo,2,0.835560848072899,0.220724191063174
3,test_id,5,0.90182415929066,0.220886554734925
3,ood_combo,2,0.795951141590812,0.346045197740113
4,test_id,5,0.928095948952466,0.232398941010447
4,ood_combo,2,0.847759976541891,0.362994350282486
