regime,subset,unit,N,arm,skill,rmse_early,false_alarm,detect_corr
in_dist,DS07_id,5,100,E_Lin,-0.0644877,0.004072157,0.01482629,0.149365067481995
in_dist,DS07_id,5,100,E_MLP,0.7992705,0.00970018,0.01918915,0.748967885971069
in_dist,DS07_id,5,100,E_MixLinear,0.6404554,0.003988813,0.01076347,0.853090554475784
in_dist,DS07_id,5,100,E_WPMixer,-0.003097177,0.03521214,0.05221908,0.2186598777771
in_dist,DS07_id,5,100,D,0.5261105,0.003900523,0.00906739,0.847249768654682
in_dist,DS07_id,5,1000,Z_zero,0,0.004644735,0,0
in_dist,DS07_id,5,1000,E_Lin,-0.06419194,0.003812055,0.01454607,0.136729419231415
in_dist,DS07_id,5,1000,E_MLP,0.8052952,0.008779825,0.0184797,0.781378507614136
in_dist,DS07_id,5,1000,E_MixLinear,0.6334431,0.003707848,0.01047503,0.855942875146866
in_dist,DS07_id,5,1000,E_WPMixer,0.06228191,0.02938917,0.04868766,0.204968839883804
in_dist,DS07_id,5,1000,D,0.5239446,0.003952561,0.009055831,0.849902112111889
in_dist,DS07_id,6,1,Z_zero,0,0.003762428,0,0
in_dist,DS07_id,6,1,E_Lin,0.1401064,0.01696277,0.02621915,0.905696719884872
in_dist,DS07_id,6,1,E_MLP,-0.5059811,0.05298878,0.0796228,0.681582719087601
in_dist,DS07_id,6,1,E_MixLinear,0.6363571,0.01355001,0.01746807,0.868803918361664
in_dist,DS07_id,6,1,E_WPMixer,-13.57281,0.1997575,0.3296988,0.497529327869415
in_dist,DS07_id,6,1,D,0.4673469,0.003633303,0.01356963,0.982149492808713
in_dist,DS07_id,6,10,Z_zero,0,0.003762428,0,0
in_dist,DS07_id,6,10,E_Lin,0.1655895,0.006982139,0.02083836,0.983954906463623
in_dist,DS07_id,6,10,E_MLP,-0.1924992,0.01936545,0.06438411,0.899714767932892
in_dist,DS07_id,6,10,E_MixLinear,0.575923,0.008976513,0.0176124,0.978309482336044
in_dist,DS07_id,6,10,E_WPMixer,-1.848773,0.06422102,0.1360945,0.644294902682304
in_dist,DS07_id,6,10,D,0.4186543,0.003513508,0.014798,0.993465570304516
in_dist,DS07_id,6,100,Z_zero,0,0.003762428,0,0
in_dist,DS07_id,6,100,E_Lin,0.1697986,0.004642688,0.01998591,0.994914829730988
in_dist,DS07_id,6,100,E_MLP,-0.1985512,0.01279717,0.06400321,0.964250415563583
in_dist,DS07_id,6,100,E_MixLinear,0.5484694,0.006096265,0.01715451,0.99032074213028
in_dist,DS07_id,6,100,E_WPMixer,-1.424514,0.03492311,0.1161002,0.653712376952171
in_dist,DS07_id,6,100,D,0.4183897,0.004152039,0.01500846,0.996688972639551
in_dist,DS07_id,6,1000,Z_zero,0,0.003762428,0,0
