mode,subset,arm,GroupCount,mean_skill,mean_false_alarm,mean_detect_corr,mean_rmse_early
full,DS02,FreeMLP,12,0.938059934683827,0.00186147454459279,0.9919868978454,0.00333092462279684
full,DS02,H0,12,0.941031567321757,0.00183558185820935,0.991444442872452,0.00355881777349707
full,DS02,MoE_K4,12,0.937494094947598,0.00185397881509953,0.992014016472396,0.00328859407932236
full,DS02,MoE_dir,12,0.937650919895749,0.00180120223083562,0.991948011991055,0.00332695034800135
full,DS02,TRA4,12,0.937178736509197,0.00203325539512435,0.991824020964579,0.00347369974157111
full,DS02,Z_zero,12,0,0,0,0.00535215169184881
full,DS03,FreeMLP,24,0.952187480044855,0.00226792907040022,0.990224798584704,0.00365622116961388
full,DS03,H0,24,0.950527843862844,0.00214451183519171,0.989874929410063,0.00355714420678274
full,DS03,MoE_K4,24,0.951875227883977,0.00225966594793842,0.990455472955911,0.00364170966876856
full,DS03,MoE_dir,24,0.951965858665965,0.0022366732936538,0.990367766094493,0.00365676982160661
full,DS03,TRA4,24,0.954599924944845,0.00241024018027648,0.990198045521128,0.00367393614011987
full,DS03,Z_zero,24,0,0,0,0.00580984608590239
highTRA,DS02,FreeMLP,12,0.944038736392224,0.00119670998418418,0.991969740594039,0.00357963311173011
highTRA,DS02,H0,12,0.94069776265397,0.00142505218338755,0.991112983663577,0.00386192805081903
highTRA,DS02,MoE_K4,12,0.942935013807258,0.00119501284464531,0.992067695485594,0.00355723751815348
highTRA,DS02,MoE_dir,12,0.943457685981811,0.00108049127943326,0.992193988105393,0.0035491419130812
highTRA,DS02,TRA4,12,0.941835736698179,0.00131714212605735,0.991930234810339,0.00365094454709486
highTRA,DS02,Z_zero,12,0,0,0,0.00534810167724355
highTRA,DS03,FreeMLP,24,0.957199773986865,0.00125324280113322,0.991649633953953,0.00437042431723438
highTRA,DS03,H0,24,0.955226099282194,0.00149364887029065,0.991353032392381,0.00449495053045108
highTRA,DS03,MoE_K4,24,0.956431513083699,0.00127242092281245,0.99167339609004,0.00436855959940799
highTRA,DS03,MoE_dir,24,0.957285846801403,0.00124657183020538,0.991685959543703,0.00440074056208788
highTRA,DS03,TRA4,24,0.957140183933061,0.00136070054275665,0.991763325112536,0.0043909483157864
highTRA,DS03,Z_zero,24,0,0,0,0.00582634988339337
