detection_FAR,detection_DR,detection_precision,detection_F1,detection_delay,isolation_microF1,isolation_macroF1,hamming_loss,stage_weighted_kappa,stage_MAE,stage_reversals,unknown_rate,regime,subset,unit,split_seed
0.432432432432432,1,0.783783783783784,0.878787878787879,-16,0.418772563176895,0.21969696969697,0.188304093567251,0.84385506163616,0.315789473684211,0,0,test_id,DS01-005_id,4,314159
0,0.865671641791045,1,0.928,9,0.714754098360656,0.298734463276836,0.116465863453815,0.944703530979347,0.144578313253012,0,0.0602409638554217,test_id,DS04_id,6,314159
0,0.758064516129032,1,0.862385321100917,15,0.705882352941177,0.560477646716179,0.104166666666667,0.865694551036071,0.3125,0,0,test_id,DS05_id,2,314159
0,0.924528301886792,1,0.96078431372549,4,0.801724137931035,0.467000202142713,0.0655270655270655,0.902985074626866,0.205128205128205,0,0.0384615384615385,test_id,DS07_id,3,314159
0,0.981818181818182,1,0.990825688073394,1,0.857142857142857,0.526875658520289,0.0804597701149425,0.951882578174856,0.126436781609195,0,0,test_id,DS06_id,4,314159
0.611111111111111,1,0.788461538461538,0.881720430107527,-11,0.924812030075188,0.926927782815851,0.0376647834274953,0.662566094744793,0.525423728813559,0,0,ood_combo,DS02,11,314159
0.657142857142857,1,0.640625,0.780952380952381,-23,0.681318681318681,0.404805860805861,0.12719298245614,0.574065934065934,0.736842105263158,0,0,ood_combo,DS02,14,314159
0.478260869565217,1,0.8,0.888888888888889,-11,0.718367346938776,0.307568438003221,0.114427860696517,0.832969772514802,0.358208955223881,0,0,ood_combo,DS02,15,314159
0.235294117647059,1,0.924528301886792,0.96078431372549,-4,0.949152542372881,0.715965309200603,0.0252525252525253,0.93236444941308,0.136363636363636,0,0,ood_combo,DS03,10,314159
0.611111111111111,1,0.788461538461538,0.881720430107527,-11,0.928301886792453,0.930943847072879,0.0357815442561205,0.662566094744793,0.525423728813559,0,0,ood_combo,DS03,11,314159
0.777777777777778,1,0.670588235294118,0.802816901408451,-28,0.836185819070905,0.836965903163086,0.0800477897252091,0.633144411698028,0.548387096774194,0,0,ood_combo,DS03,12,314159
0.444444444444444,1,0.880597014925373,0.936507936507936,-8,0.96195652173913,0.962307053216144,0.0202020202020202,0.850574712643678,0.233766233766234,0,0,ood_combo,DS03,13,314159
0.657142857142857,1,0.640625,0.780952380952381,-23,0.796116504854369,0.603208392267798,0.0921052631578947,0.622743682310469,0.657894736842105,0,0,ood_combo,DS03,14,314159
0.5,1,0.781818181818182,0.877551020408163,-12,0.731914893617021,0.362466725820763,0.104477611940299,0.815765352887259,0.388059701492537,0,0,ood_combo,DS03,15,314159
0,0.9,1,0.947368421052632,7,0.443661971830986,0.157894736842105,0.186761229314421,0.842809364548495,0.351063829787234,0,0.0531914893617021,test_id,DS01-005_id,6,314160
0,1,1,1,0,0.977578475336323,0.977064220183486,0.0076103500761035,0.980997830802603,0.0410958904109589,0,0.0547945205479452,test_id,DS04_id,2,314160
0,0.95,1,0.974358974358974,2,0.91566265060241,0.64957264957265,0.0239316239316239,0.980430528375734,0.0615384615384615,0,0.0923076923076923,test_id,DS05_id,3,314160
0,0.909090909090909,1,0.952380952380952,4,0.806629834254144,0.452380952380952,0.0492264416315049,0.917712415058777,0.215189873417722,0,0,test_id,DS07_id,4,314160
0,0.970149253731343,1,0.984848484848485,2,0.967244701348748,0.966761739532732,0.0190796857463524,0.939292284384807,0.131313131313131,0,0,test_id,DS06_id,5,314160
0,1,1,1,0,0.899563318777292,0.677796084512502,0.0433145009416196,0.95610119047619,0.135593220338983,0,0.0169491525423729,ood_combo,DS02,11,314160
0.542857142857143,1,0.683333333333333,0.811881188118812,-19,0.842465753424658,0.446280995261776,0.0672514619883041,0.840734028092433,0.407894736842105,0,0,ood_combo,DS02,14,314160
0,0.886363636363636,1,0.939759036144578,5,0.876595744680851,0.869815149098135,0.0480928689883914,0.87787753999865,0.253731343283582,0,0.0447761194029851,ood_combo,DS02,15,314160
0.117647058823529,1,0.96078431372549,0.98,-2,0.866920152091255,0.849548452562151,0.0589225589225589,0.941176470588235,0.151515151515152,0,0.0151515151515152,ood_combo,DS03,10,314160
0.666666666666667,1,0.773584905660377,0.872340425531915,-12,0.921875,0.701851340149213,0.0376647834274953,0.863591324452273,0.355932203389831,0,0,ood_combo,DS03,11,314160
0.75,1,0.678571428571429,0.808510638297872,-27,0.787286063569682,0.432679620396097,0.103942652329749,0.834952363160844,0.365591397849462,0,0,ood_combo,DS03,12,314160
0.166666666666667,1,0.951612903225806,0.975206611570248,-3,0.956521739130435,0.955516949236353,0.0216450216450216,0.934874541866366,0.155844155844156,0,0.038961038961039,ood_combo,DS03,13,314160
0.4,1,0.745454545454545,0.854166666666667,-14,0.894545454545455,0.54804417272527,0.0423976608187134,0.894876112581188,0.223684210526316,0,0,ood_combo,DS03,14,314160
0,0.976744186046512,1,0.988235294117647,1,0.925619834710744,0.694960058097313,0.0298507462686567,0.995083290526161,0.0149253731343284,0,0.0149253731343284,ood_combo,DS03,15,314160
0,0.789473684210526,1,0.882352941176471,12,0.446927374301676,0.206185567010309,0.146666666666667,0.8565965583174,0.266666666666667,0,0,test_id,DS01-005_id,2,314161
0.523809523809524,1,0.877777777777778,0.93491124260355,-11,0.659459459459459,0.580798802476696,0.14,0.821891191709845,0.22,0,0,test_id,DS04_id,3,314161
0.8,1,0.695652173913043,0.82051282051282,-28,0.683060109289618,0.467776223776224,0.130190796857464,0.867727438357828,0.333333333333333,0,0,test_id,DS05_id,4,314161
