regime,metric,n_splits,mean,std,min,max
ood_combo,detection_FAR,5,0.363010347456213,0.157716040864484,0.219068368087976,0.552476127326937
ood_combo,detection_DR,5,0.988306500201877,0.0110830531733044,0.976361476614869,1
ood_combo,detection_F1,5,0.900713551235692,0.0284666821955329,0.865766075895416,0.928968427083678
ood_combo,isolation_macroF1,5,0.646539462073715,0.0884453387746462,0.51935332701728,0.751415828524201
ood_combo,stage_weighted_kappa,5,0.855019809340202,0.0751504967852256,0.731862278335871,0.922684158755608
ood_combo,stage_MAE,5,0.286955846895108,0.106554266676968,0.173052865882708,0.456707769261429
test_id,detection_FAR,5,0.167824049374049,0.131021784224162,0,0.320502164502165
test_id,detection_DR,5,0.938858716130589,0.0378313046503393,0.90601652832501,1
test_id,detection_F1,5,0.933845138521149,0.0267820076043342,0.910384152584402,0.971791366528209
test_id,isolation_macroF1,5,0.481167688774208,0.116461906283271,0.338331704781543,0.640734859702385
test_id,stage_weighted_kappa,5,0.904409050353565,0.0214328829864482,0.878347673454332,0.932248484634083
test_id,stage_MAE,5,0.210530580896685,0.041477490367296,0.160040237293501,0.269209226101796
