split_seed,lambda,unitCount,meanMSE,selected
314159,0.001,5,0.0011434923689407,0
314159,0.00316227766016838,5,0.00114098418343883,0
314159,0.01,5,0.00113127328650338,1
314159,0.0316227766016838,5,0.00114342206038327,0
314159,0.1,5,0.00123982015134246,0
314159,0.316227766016838,5,0.00128659184782942,0
314159,1,5,0.00132268380989354,0
314159,3.16227766016838,5,0.00130535301946457,0
314159,10,5,0.00133476038774297,0
314159,31.6227766016838,5,0.00150385884767828,0
314159,100,5,0.00201315736289179,0
314159,316.227766016838,5,0.00299214860201172,0
314159,1000,5,0.00412417369181047,0
314160,0.001,5,0.00142157678638509,0
314160,0.00316227766016838,5,0.00141975205264461,0
314160,0.01,5,0.001372346956452,0
314160,0.0316227766016838,5,0.00123990091355493,0
314160,0.1,5,0.00108612027948214,0
314160,0.316227766016838,5,0.000976385470578123,1
314160,1,5,0.00100568948104109,0
314160,3.16227766016838,5,0.00112314015759325,0
314160,10,5,0.00119341310019332,0
314160,31.6227766016838,5,0.00135472829775936,0
314160,100,5,0.00168690828143804,0
314160,316.227766016838,5,0.00241583217475031,0
314160,1000,5,0.00349912333614813,0
314161,0.001,5,0.00104382755562677,1
314161,0.00316227766016838,5,0.00105279227652971,0
314161,0.01,5,0.00105736667031856,0
314161,0.0316227766016838,5,0.00108357467270156,0
314161,0.1,5,0.00115384622043055,0
314161,0.316227766016838,5,0.00137113583634659,0
314161,1,5,0.00158231951824614,0
314161,3.16227766016838,5,0.00174890332244854,0
314161,10,5,0.00186138168494787,0
314161,31.6227766016838,5,0.00200117659229351,0
314161,100,5,0.0024270738794476,0
314161,316.227766016838,5,0.00354589788446763,0
314161,1000,5,0.00529279010470001,0
314162,0.001,5,0.00424823881312741,0
314162,0.00316227766016838,5,0.00424825730240205,0
314162,0.01,5,0.00421043209372083,0
314162,0.0316227766016838,5,0.00363372613333288,0
314162,0.1,5,0.00253988234954985,0
314162,0.316227766016838,5,0.00215550818285937,0
314162,1,5,0.00214220580294617,1
314162,3.16227766016838,5,0.00223809476483835,0
314162,10,5,0.00238577352396967,0
314162,31.6227766016838,5,0.00279458017941647,0
314162,100,5,0.0036962945748979,0
314162,316.227766016838,5,0.00510826702084865,0
314162,1000,5,0.00661510175509713,0
314163,0.001,5,0.00598422214146947,0
314163,0.00316227766016838,5,0.00598791633892814,0
314163,0.01,5,0.00599326590060878,0
314163,0.0316227766016838,5,0.00601503697084682,0
314163,0.1,5,0.00594297381129986,0
314163,0.316227766016838,5,0.00407399142424654,0
314163,1,5,0.0026612381475832,0
314163,3.16227766016838,5,0.0021772155501823,0
314163,10,5,0.0020375368683597,0
314163,31.6227766016838,5,0.002026014631039,1
314163,100,5,0.00220128919561182,0
314163,316.227766016838,5,0.00286987437042194,0
314163,1000,5,0.00410413192613571,0
