split_seed,lambda,persistence,stage_components,unknown_threshold,n_calibration_units,n_test_units
314159,0.01,5,3,0.59802067909854584,5,14
314160,0.31622776601683794,5,3,0.33642247262770364,5,14
314161,0.001,5,3,0.49173216609674142,5,14
314162,1,5,3,0.83061426752269341,5,14
314163,31.622776601683793,5,3,0.4997405764152662,5,14
