quantile,subset,unit,N,component,mean_gain,mean_abs_gain_minus1
0.85,DS02,14,1000,4,1.0738138540795,0.0738138540794975
0.85,DS02,14,1000,5,1.05161995009372,0.0516199500937211
0.85,DS02,14,1000,6,1.09441182252608,0.0947519940765281
0.85,DS02,14,1000,7,1.05362965323423,0.0541816189100868
0.85,DS02,14,1000,8,1.25415241561438,0.254152415614379
0.85,DS02,14,1000,9,1.07712422389733,0.0771242238973316
0.85,DS02,15,1,1,1.07280135688497,0.0737252502299067
0.85,DS02,15,1,2,1.12784154290584,0.13861932772309
0.85,DS02,15,1,3,1.15130906407513,0.167795119890526
0.85,DS02,15,1,4,1.13510398633444,0.135304875338255
0.85,DS02,15,1,5,1.0805332536128,0.080533253612803
0.85,DS02,15,1,6,1.20687640513947,0.207918918844479
0.85,DS02,15,1,7,1.11345627859457,0.114281931030216
0.85,DS02,15,1,8,1.31833901512089,0.318339015120891
0.85,DS02,15,1,9,1.04695569757205,0.0469556975720534
0.85,DS02,15,10,1,1.07381376579626,0.0738137657962628
0.85,DS02,15,10,2,1.13166197467206,0.133984493675517
0.85,DS02,15,10,3,1.15631065795671,0.161221450834132
0.85,DS02,15,10,4,1.13665741948939,0.136657419489391
0.85,DS02,15,10,5,1.08134317575996,0.081343175759956
0.85,DS02,15,10,6,1.20970850916051,0.209708509160512
0.85,DS02,15,10,7,1.11491678899793,0.114916788997935
0.85,DS02,15,10,8,1.3201338355221,0.320133835522097
0.85,DS02,15,10,9,1.04640669431259,0.0464066943125938
0.85,DS02,15,100,1,1.07368709614028,0.0736870961402779
0.85,DS02,15,100,2,1.13069134061016,0.134107788107288
0.85,DS02,15,100,3,1.15498393596108,0.16192181519608
0.85,DS02,15,100,4,1.13642740249634,0.136427402496338
0.85,DS02,15,100,5,1.08126235364088,0.0812623536408837
0.85,DS02,15,100,6,1.20921299172871,0.209212991728711
0.85,DS02,15,100,7,1.11472710922583,0.114727109225828
0.85,DS02,15,100,8,1.31986413251108,0.319864132511082
0.85,DS02,15,100,9,1.04663580389165,0.0466358038916517
0.85,DS02,15,1000,1,1.07364191937802,0.0736419193780244
0.85,DS02,15,1000,2,1.13074195118093,0.134059084885156
0.85,DS02,15,1000,3,1.15507533657017,0.161902929419902
0.85,DS02,15,1000,4,1.13637406256661,0.136374062566615
0.85,DS02,15,1000,5,1.08121697048643,0.0812169704864274
0.85,DS02,15,1000,6,1.20914997093713,0.209149970937131
0.85,DS02,15,1000,7,1.11466506345948,0.114665063459482
0.85,DS02,15,1000,8,1.31980424674589,0.319804246745892
0.85,DS02,15,1000,9,1.04658822515118,0.0465882251511759
0.85,DS03,10,1,1,1.07829652410565,0.07829652410565
0.85,DS03,10,1,2,1.15655144687855,0.169690208904671
0.85,DS03,10,1,3,1.19038361130339,0.211525927890431
0.85,DS03,10,1,4,1.14315615639542,0.143156156395421
0.85,DS03,10,1,5,1.08276648232431,0.0827664823243112
0.85,DS03,10,1,6,1.22324586637092,0.223245866370924
0.85,DS03,10,1,7,1.12144628257462,0.121446282574625
0.85,DS03,10,1,8,1.32499029780879,0.324990297808792
0.85,DS03,10,1,9,1.03791220079769,0.0379122007976879
0.85,DS03,10,10,1,1.07846414501017,0.0784641450101679
0.85,DS03,10,10,2,1.15564713694833,0.160168113130512
0.85,DS03,10,10,3,1.18895766861511,0.197767576484969
0.85,DS03,10,10,4,1.14341283025164,0.143412830251636
0.85,DS03,10,10,5,1.0831764701641,0.0831764701640967
0.85,DS03,10,10,6,1.22342337803407,0.223423378034072
0.85,DS03,10,10,7,1.12167219501553,0.121672195015532
0.85,DS03,10,10,8,1.32558883500822,0.325588835008217
0.85,DS03,10,10,9,1.03872295943173,0.038722959431735
