quantile,fallback_rate,formal_rate,formal_median_gap,small_lambda,small_rate,small_median_gap,main_lambda,main_rate,main_median_gap,median_abs_gain_minus1
0.75,0,0.625,0.00238952991683272,0.001,1,0.349427708523435,31.6227766016838,0.375,-0.000161689169177174,0.100584598297644
0.85,0,0.722222222222222,0.00708869292733362,0.001,1,0.352973813767632,31.6227766016838,1,0.00398610741471912,0.113674634428166
0.9,0,0.722222222222222,0.0074292787613047,0.001,1,0.392165125445718,31.6227766016838,1,0.00523262177589992,0.117331606238636
0.95,0,0.708333333333333,0.00988006528406896,0.001,1,0.407195871104957,31.6227766016838,1,0.00787217705010759,0.121498293841063
