subset,N,small_gap,main_gap,delta_small_minus_main
DS02,1,0.339273350896295,-0.000381791768532111,0.339655142664827
DS02,10,0.320204003235875,0.00162642096297143,0.318577582272904
DS02,100,0.322363472566788,0.00217106011658456,0.320192412450204
DS02,1000,0.306036165004087,0.00206384910376119,0.303972315900326
DS03,1,0.461669885121954,-0.00255976076443524,0.46422964588639
DS03,10,0.369508656754822,-0.000720924711070123,0.370229581465892
DS03,100,0.359582066150575,-0.00020021173740148,0.359782277887976
DS03,1000,0.360198060873605,-0.000123166600952868,0.360321227474558
