quantile,lambda,mean_gap,median_gap,q25_gap,q75_gap,win_rate
0.75,0.001,0.3548544575755,0.349427708523435,0.321283737901332,0.364853358814214,1
0.75,0.00316227766016838,0.356233550445485,0.349167059523325,0.324679782196329,0.366836793990944,1
0.75,0.01,0.363214640065346,0.358632158925349,0.331247432520932,0.378359452426871,1
0.75,0.0316227766016838,0.387918811038693,0.39289716729598,0.351829888323492,0.413704821838566,1
0.75,0.1,0.390781888304835,0.417346947815967,0.290171339834149,0.472140425775981,1
0.75,0.316227766016838,0.11776136511494,0.104197974743746,0.0946674298849817,0.121423919822354,1
0.75,1,0.0151564569716141,0.00344418503117738,0.00190728221044057,0.0324127133350321,1
0.75,3.16227766016838,0.0028735539923032,0.0037266794044216,0.0009971794079635,0.00410833613421795,1
0.75,10,0.00316599968090708,0.00429328966691663,0.00143303757716749,0.00507901738641028,0.75
0.75,31.6227766016838,0.00023443432511567,-0.000161689169177174,-0.000551358239801117,0.00184513503336631,0.375
0.75,100,-0.0054565112961766,-0.00546574709710652,-0.00750830859678426,-0.00338147085069969,0
0.75,316.227766016838,-0.00351733153635973,-0.00347259460732369,-0.00435544512743237,-0.00272238686392104,0
0.75,1000,-0.000373959877784857,-0.000349238305076122,-0.00391571867543226,0.0031371473617177,0.5
0.85,0.001,0.355925095320302,0.352973813767632,0.345068977856349,0.363548421514119,1
0.85,0.00316227766016838,0.35734415777151,0.355170186329536,0.345113968756485,0.366927657710883,1
0.85,0.01,0.361450462144174,0.362384170331996,0.345255508355379,0.375821590559534,1
0.85,0.0316227766016838,0.380482106727129,0.387314257876633,0.362134581813814,0.391458982467628,1
0.85,0.1,0.425744808348939,0.431982489638632,0.367289701992642,0.507907927016141,1
0.85,0.316227766016838,0.132523339293127,0.146596376580188,0.110505549570773,0.155721952413451,1
0.85,1,0.0252849647136188,0.025589996259388,0.00962762683932589,0.0387133279916015,1
0.85,3.16227766016838,0.00899138055343011,0.00759349826957548,0.00709545793076229,0.00947132825353256,1
0.85,10,0.00902623779746126,0.00931189204627167,0.00781911226812903,0.0100869778074194,1
0.85,31.6227766016838,0.00387680565050252,0.00398610741471912,0.00294701011050854,0.00471106908758934,1
0.85,100,-0.00477405590881796,-0.00478873894923358,-0.00725960900454131,-0.00240018292440778,0
0.85,316.227766016838,-0.00362092597361459,-0.00360441451653716,-0.0042049521792577,-0.00303966733929849,0
0.85,1000,-1.03058851871142e-06,4.75200899557155e-05,-0.00365966844425192,0.00364171996739907,0.5
0.9,0.001,0.398130097529578,0.392165125445718,0.37536132592665,0.407791403358829,1
0.9,0.00316227766016838,0.398823102988023,0.392782549754783,0.377279676739668,0.407947059291202,1
0.9,0.01,0.403724975828759,0.404839772371899,0.380880593618488,0.41164203678671,1
0.9,0.0316227766016838,0.411492071285048,0.408094927680831,0.385288741122272,0.434215244357974,1
0.9,0.1,0.423487092056229,0.390354416872006,0.362208609414698,0.514783995912875,1
0.9,0.316227766016838,0.148897998564444,0.146254726079319,0.120270979878841,0.178187534506937,1
0.9,1,0.0285913002804446,0.0210167560949028,0.0130851211023971,0.034237277475027,1
0.9,3.16227766016838,0.0106215800964167,0.0103764363086799,0.00933042787101062,0.0110400268571927,1
0.9,10,0.0104190870339253,0.0109784373804177,0.00761854683967208,0.0125813363184362,1
0.9,31.6227766016838,0.0056779760839201,0.00523262177589992,0.00491304669399123,0.00652838278954582,1
0.9,100,-0.00433060436046504,-0.00430101644379381,-0.00676696444349966,-0.00202366587100335,0
0.9,316.227766016838,-0.00346445329181137,-0.00347633483849906,-0.00385758730914354,-0.00307979971231969,0
0.9,1000,0.000163356119233854,0.000160291496940654,-0.003619237509034,0.00396902015740653,0.5
0.95,0.001,0.411187912545461,0.407195871104957,0.400451961986717,0.424967247580092,1
0.95,0.00316227766016838,0.409502796387474,0.397963749351044,0.392882283520614,0.431402228486919,1
0.95,0.01,0.411523306540355,0.400001298372298,0.39566937952312,0.4343319300244,1
0.95,0.0316227766016838,0.424258480032391,0.425759888346165,0.408796735515186,0.447759083225871,1
0.95,0.1,0.437462032051435,0.440031756062543,0.411522235004419,0.456630496749359,1
0.95,0.316227766016838,0.162530498602075,0.170479621194443,0.137969021601718,0.170867707687734,1
0.95,1,0.0312824464297971,0.0319390677032726,0.0258896969568213,0.0378396911624993,0.875
0.95,3.16227766016838,0.0132466341168031,0.0135933744543089,0.0117565061617371,0.0161539080761366,1
0.95,10,0.0123684828627266,0.0120595680241752,0.00869960047699783,0.0165991883265353,1
0.95,31.6227766016838,0.00777429965941296,0.00787217705010759,0.00572196659622343,0.00985226415009219,1
0.95,100,-0.00333175502807764,-0.00341089843397911,-0.00535044089947528,-0.00149336989632531,0
0.95,316.227766016838,-0.00310378336408358,-0.00291979430547843,-0.00366868981219298,-0.0027756601866088,0
0.95,1000,0.000416433125079713,0.000482645057238342,-0.00335199871812001,0.004121155017017,0.5
