stage_components,regime,n_units,weighted_kappa,stage_MAE
2,test_id,5,0.908438362116522,0.139786490650582
2,ood_combo,9,0.77649961354048,0.306230893696647
3,test_id,5,0.90182415929066,0.220886554734925
3,ood_combo,9,0.731862278335871,0.456707769261429
4,test_id,5,0.928095948952466,0.232398941010447
4,ood_combo,9,0.78424792735482,0.53473911053184
