detection_FAR,detection_DR,detection_precision,detection_F1,detection_delay,isolation_microF1,isolation_macroF1,hamming_loss,stage_weighted_kappa,stage_MAE,stage_reversals,unknown_rate,regime,subset,unit
0.432432432432432,1,0.783783783783784,0.878787878787879,-16,0.418772563176895,0.21969696969697,0.188304093567251,0.84385506163616,0.315789473684211,0,0,test_id,DS01-005_id,4
0,0.865671641791045,1,0.928,9,0.714754098360656,0.298734463276836,0.116465863453815,0.944703530979347,0.144578313253012,0,0.0602409638554217,test_id,DS04_id,6
0,0.758064516129032,1,0.862385321100917,15,0.705882352941177,0.560477646716179,0.104166666666667,0.865694551036071,0.3125,0,0,test_id,DS05_id,2
0,0.924528301886792,1,0.96078431372549,4,0.801724137931035,0.467000202142713,0.0655270655270655,0.902985074626866,0.205128205128205,0,0.0384615384615385,test_id,DS07_id,3
0,0.981818181818182,1,0.990825688073394,1,0.857142857142857,0.526875658520289,0.0804597701149425,0.951882578174856,0.126436781609195,0,0,test_id,DS06_id,4
0.611111111111111,1,0.788461538461538,0.881720430107527,-11,0.924812030075188,0.926927782815851,0.0376647834274953,0.662566094744793,0.525423728813559,0,0,ood_combo,DS02,11
0.657142857142857,1,0.640625,0.780952380952381,-23,0.681318681318681,0.404805860805861,0.12719298245614,0.574065934065934,0.736842105263158,0,0,ood_combo,DS02,14
0.478260869565217,1,0.8,0.888888888888889,-11,0.718367346938776,0.307568438003221,0.114427860696517,0.832969772514802,0.358208955223881,0,0,ood_combo,DS02,15
0.235294117647059,1,0.924528301886792,0.96078431372549,-4,0.949152542372881,0.715965309200603,0.0252525252525253,0.93236444941308,0.136363636363636,0,0,ood_combo,DS03,10
0.611111111111111,1,0.788461538461538,0.881720430107527,-11,0.928301886792453,0.930943847072879,0.0357815442561205,0.662566094744793,0.525423728813559,0,0,ood_combo,DS03,11
0.777777777777778,1,0.670588235294118,0.802816901408451,-28,0.836185819070905,0.836965903163086,0.0800477897252091,0.633144411698028,0.548387096774194,0,0,ood_combo,DS03,12
0.444444444444444,1,0.880597014925373,0.936507936507936,-8,0.96195652173913,0.962307053216144,0.0202020202020202,0.850574712643678,0.233766233766234,0,0,ood_combo,DS03,13
0.657142857142857,1,0.640625,0.780952380952381,-23,0.796116504854369,0.603208392267798,0.0921052631578947,0.622743682310469,0.657894736842105,0,0,ood_combo,DS03,14
0.5,1,0.781818181818182,0.877551020408163,-12,0.731914893617021,0.362466725820763,0.104477611940299,0.815765352887259,0.388059701492537,0,0,ood_combo,DS03,15
