regime,parameter,component,n_units,precision,recall,F1,FAR
ood_combo,HPT_eff_mod,1,9,0.878005950131456,0.88547127543157,0.860177450811238,0.271537503890445
ood_combo,fan_eff_mod,2,9,0,0,0,0
ood_combo,fan_flow_mod,3,9,0,0,0,0.002389486260454
ood_combo,HPC_eff_mod,4,9,0,0,0,0.0208608438659372
ood_combo,HPC_flow_mod,5,9,0,0,0,0
ood_combo,LPT_eff_mod,6,9,0.928569023569024,0.960999450962287,0.93911166476108,0.119312169312169
ood_combo,LPT_flow_mod,7,9,0.984848484848485,0.851696644871033,0.904828233460973,0.019047619047619
ood_combo,LPC_eff_mod,8,9,0,0,0,0.0142234116364357
ood_combo,LPC_flow_mod,9,9,0,0,0,0.0465398436979411
test_id,HPT_eff_mod,1,5,0.2,0.18,0.189473684210526,0.0455696202531646
test_id,fan_eff_mod,2,5,0.2,0.2,0.2,0
test_id,fan_flow_mod,3,5,0.2,0.182456140350877,0.190825688073394,0
test_id,HPC_eff_mod,4,5,0.4,0.384029850746269,0.391841491841492,0.0468085106382979
test_id,HPC_flow_mod,5,5,0.4,0.381044776119403,0.390291642200039,0.0148936170212766
test_id,LPT_eff_mod,6,5,0.2,0.181818181818182,0.19047619047619,0.1
test_id,LPT_flow_mod,7,5,0.2,0.15,0.171428571428571,0.106382978723404
test_id,LPC_eff_mod,8,5,0.2,0.191044776119403,0.195419847328244,0.0307692307692308
test_id,LPC_flow_mod,9,5,0.2,0.173134328358209,0.1856,0.0582547805009426
