regime,truth,prediction,count
ood_combo,0,0,147
ood_combo,1,0,1
ood_combo,2,0,5
ood_combo,3,0,0
ood_combo,0,1,69
ood_combo,1,1,5
ood_combo,2,1,22
ood_combo,3,1,0
ood_combo,0,2,8
ood_combo,1,2,0
ood_combo,2,2,179
ood_combo,3,2,5
ood_combo,0,3,0
ood_combo,1,3,0
ood_combo,2,3,28
ood_combo,3,3,171
test_id,0,0,132
test_id,1,0,5
test_id,2,0,10
test_id,3,0,0
test_id,0,1,0
test_id,1,1,28
test_id,2,1,31
test_id,3,1,0
test_id,0,2,0
test_id,1,2,0
test_id,2,2,89
test_id,3,2,14
test_id,0,3,0
test_id,1,3,0
test_id,2,3,0
test_id,3,3,101
