family,omitted_components,lambda,threshold,n_calibration_known,n_test_known,n_test_unknown,AUROC,AUPRC,known_accept_rate,unknown_reject_rate
HPT_eff,1,0.001,0.360022042182811,4,4,1,0.5,0.166666666666667,0.75,0
Fan,[2 3],0.316227766016838,0.287753301029995,4,4,1,1,1,0.5,1
HPC,[4 5],0.316227766016838,0.359972404388708,3,3,2,1,1,0.666666666666667,1
LPT,[6 7],0.001,0.361047440910335,4,4,1,1,1,0.5,1
LPC,[8 9],0.316227766016838,0.361432662873729,4,4,1,1,1,0.75,1
