regime,metric,n_units,mean,ci_low,ci_high
ood_combo,detection_FAR,9,0.293759726112667,0.112605042016807,0.485846560846561
ood_combo,detection_DR,9,0.984789758045572,0.959537232793047,1
ood_combo,detection_F1,9,0.914455540049749,0.864453663869995,0.961195082158281
ood_combo,detection_delay,9,-7.88888888888889,-14.6666666666667,-1.5
ood_combo,isolation_microF1,9,0.885710340103375,0.852082041552195,0.915409825620929
ood_combo,isolation_macroF1,9,0.686276980226534,0.577518371426411,0.795592198618063
ood_combo,hamming_loss,9,0.0503424728145011,0.0370164026947016,0.0664484303415044
ood_combo,stage_weighted_kappa,9,0.904362984638038,0.871155221168607,0.939206648106645
ood_combo,stage_MAE,9,0.229412421413768,0.147410985147481,0.303625062558554
ood_combo,unknown_rate,9,0.0145292443546934,0.00497512437810945,0.0250436921952227
test_id,detection_FAR,5,0,0,0
test_id,detection_DR,5,0.94584803256445,0.913636363636364,0.978059701492537
test_id,detection_F1,5,0.971791366528209,0.954771544245228,0.988811188811189
test_id,detection_delay,5,3,1.2,5.2
test_id,isolation_microF1,5,0.822155526674522,0.623038845016685,0.96106180079451
test_id,isolation_macroF1,5,0.640734859702385,0.354565901934323,0.907444913801017
test_id,hamming_loss,5,0.0573218661400011,0.0154623391153071,0.124571029497199
test_id,stage_weighted_kappa,5,0.932248484634083,0.885314207415999,0.972429800548296
test_id,stage_MAE,5,0.160040237293501,0.0673163670423944,0.261895450638077
test_id,unknown_rate,5,0.0400587404434679,0.0106382978723404,0.0694791830145954
