detection_FAR,detection_DR,detection_precision,detection_F1,detection_delay,isolation_microF1,isolation_macroF1,hamming_loss,stage_weighted_kappa,stage_MAE,stage_reversals,unknown_rate,regime,subset,unit
0,0.9,1,0.947368421052632,7,0.443661971830986,0.157894736842105,0.186761229314421,0.842809364548495,0.351063829787234,0,0.0531914893617021,test_id,DS01-005_id,6
0,1,1,1,0,0.977578475336323,0.977064220183486,0.0076103500761035,0.980997830802603,0.0410958904109589,0,0.0547945205479452,test_id,DS04_id,2
0,0.95,1,0.974358974358974,2,0.91566265060241,0.64957264957265,0.0239316239316239,0.980430528375734,0.0615384615384615,0,0.0923076923076923,test_id,DS05_id,3
0,0.909090909090909,1,0.952380952380952,4,0.806629834254144,0.452380952380952,0.0492264416315049,0.917712415058777,0.215189873417722,0,0,test_id,DS07_id,4
0,0.970149253731343,1,0.984848484848485,2,0.967244701348748,0.966761739532732,0.0190796857463524,0.939292284384807,0.131313131313131,0,0,test_id,DS06_id,5
0,1,1,1,0,0.899563318777292,0.677796084512502,0.0433145009416196,0.95610119047619,0.135593220338983,0,0.0169491525423729,ood_combo,DS02,11
0.542857142857143,1,0.683333333333333,0.811881188118812,-19,0.842465753424658,0.446280995261776,0.0672514619883041,0.840734028092433,0.407894736842105,0,0,ood_combo,DS02,14
0,0.886363636363636,1,0.939759036144578,5,0.876595744680851,0.869815149098135,0.0480928689883914,0.87787753999865,0.253731343283582,0,0.0447761194029851,ood_combo,DS02,15
0.117647058823529,1,0.96078431372549,0.98,-2,0.866920152091255,0.849548452562151,0.0589225589225589,0.941176470588235,0.151515151515152,0,0.0151515151515152,ood_combo,DS03,10
0.666666666666667,1,0.773584905660377,0.872340425531915,-12,0.921875,0.701851340149213,0.0376647834274953,0.863591324452273,0.355932203389831,0,0,ood_combo,DS03,11
0.75,1,0.678571428571429,0.808510638297872,-27,0.787286063569682,0.432679620396097,0.103942652329749,0.834952363160844,0.365591397849462,0,0,ood_combo,DS03,12
0.166666666666667,1,0.951612903225806,0.975206611570248,-3,0.956521739130435,0.955516949236353,0.0216450216450216,0.934874541866366,0.155844155844156,0,0.038961038961039,ood_combo,DS03,13
0.4,1,0.745454545454545,0.854166666666667,-14,0.894545454545455,0.54804417272527,0.0423976608187134,0.894876112581188,0.223684210526316,0,0,ood_combo,DS03,14
0,0.976744186046512,1,0.988235294117647,1,0.925619834710744,0.694960058097313,0.0298507462686567,0.995083290526161,0.0149253731343284,0,0.0149253731343284,ood_combo,DS03,15
