stage_components,regime,n_units,weighted_kappa,stage_MAE
2,test_id,5,0.951224194675538,0.0674647737350053
2,ood_combo,9,0.861940298698332,0.191404488338175
3,test_id,5,0.932248484634083,0.160040237293501
3,ood_combo,9,0.904362984638038,0.229412421413768
4,test_id,5,0.950393721781721,0.174967416228221
4,ood_combo,9,0.900231614178572,0.303971958355575
