subset,N,points,D_wins,win_rate,median_gap,min_gap,Z_zero_skill
DS02,1,21,21,1,21.9875232826308,0.00320524898570085,0
DS02,10,21,21,1,3.66194128536009,0.0012064857597989,0
DS02,100,21,20,0.952380952380952,1.64233781677854,-0.0137500919259061,0
DS02,1000,21,20,0.952380952380952,1.38802264677309,-0.0168511451099818,0
DS03,1,21,21,1,23.2716205986193,0.00500134540499791,0
DS03,10,21,21,1,3.39249668300712,0.0031783314158717,0
DS03,100,21,21,1,0.804588260443672,0.00079549711411353,0
DS03,1000,21,20,0.952380952380952,0.730125448022782,-0.00309128742409648,0
