arm,group,role,n_pairs,D_wins,D_win_rate,win_ci_low,win_ci_high,median_gap,q25_gap,q75_gap,mean_gap,formal_threshold,verdict
Z_zero,sentinel,sentinel,36,36,1,0.903581371405537,1,0.97333775,0.91467695,0.98315835,0.946010569444444,NaN,reference
E_Lin,linear_shallow,descriptive,36,32,0.888888888888889,0.746851914096352,0.955933596996843,0.0608373000000001,0.04991525,0.11099175,0.111856522222222,NaN,boundary
E_MixLinear,linear_shallow,descriptive,36,30,0.833333333333333,0.681092056887206,0.921295524049819,0.0915576,0.0188957000000001,0.2326535,0.111882494444444,NaN,boundary
E_MLP,deep_nonlinear,formal,36,36,1,0.903581371405537,1,0.60172005,0.47631535,1.1155911,0.742428509638889,0.95,pass
E_WPMixer,deep_nonlinear,formal,36,36,1,0.903581371405537,1,5.3269263,3.0127415,12.76309065,8.67071760833333,0.95,pass
