subset,GroupCount_cAgg,mean_B_Lcurve,mean_D_at_B_Lcurve,GroupCount_dorc,D_oracle,loss,Z_zero_skill
DS02,12,0.88544731142015,0.927823233068032,12,0.966679555590377,0.0388563225223447,0
DS03,24,0.900482464520891,0.941512156527233,24,0.969207077164134,0.0276949206369004,0
