subset,unit,N,method,lam,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta
DS02,11,1,Z_zero,,0.0,0.08344252482394354,0.0052992652588213715,0.0,0.0,86.30043269927624,0.0,25.995102860684536
DS02,11,1,B,1e-06,-426.9854126101383,1.726242958336805,1.230619242619043,0.02633796042767515,0.13970777814214802,8.220104535617901,39.81313859771409,25.995102860684536
DS02,11,1,D,1e-06,-1.1301393408478453,0.12178433899152219,0.012737787503184843,0.0024331915847703956,0.988037219630102,22.350054191007732,3.2806732727682966,25.995102860684536
DS02,11,1,B,3.162277660168379e-06,-426.9304099349478,1.7261320304538645,1.2305401773666893,0.02633759736182366,0.13970990745092157,8.220104561348474,39.810585775480085,25.995102860684536
DS02,11,1,D,3.162277660168379e-06,-1.130139326329163,0.12178433857649108,0.012737787457185597,0.002433191600049804,0.9880372196224785,22.350054191007736,3.280673260926263,25.995102860684536
DS02,11,1,B,1e-05,-426.7565460137667,1.7257813395872368,1.2302902180422337,0.026336449553466014,0.13971664091419958,8.220104818541662,39.80251520651848,25.995102860684536
DS02,11,1,D,1e-05,-1.1301392804170667,0.12178433726404776,0.012737787311723061,0.002433191648367511,0.9880372195983698,22.350054191007775,3.280673223478472,25.995102860684536
DS02,11,1,B,3.1622776601683795e-05,-426.20743737108876,1.7246732960358147,1.2295004463704966,0.026332822929381244,0.13973793396479509,8.220107386917208,39.77701544912714,25.995102860684536
DS02,11,1,D,3.1622776601683795e-05,-1.1301391352302805,0.12178433311373772,0.012737786851730111,0.002433191801161504,0.9880372195221323,22.350054191008137,3.2806731050581606,25.995102860684536
DS02,11,1,B,0.0001,-424.47795021304836,1.7211787111566563,1.227009641005004,0.026321385095518738,0.13980526820301087,8.220132958642653,39.6965937408961,25.995102860684536
DS02,11,1,D,0.0001,-1.130138676109477,0.12178431998930773,0.012737785397105243,0.002433192284338234,0.9880372192810477,22.35005419101175,3.2806727305803203,25.995102860684536
DS02,11,1,B,0.00031622776601683794,-419.0774657150632,1.7102205839078257,1.2191991401732682,0.026285686801568568,0.1400181947534056,8.220385175764138,39.44441455949201,25.995102860684536
DS02,11,1,D,0.00031622776601683794,-1.130137224243326,0.12178427848624411,0.012737780797180367,0.0024331938122742593,0.9880372185186712,22.350054191047928,3.2806715463780622,25.995102860684536
DS02,11,1,B,0.001,-402.6605321331154,1.6764692069257825,1.1951428434813063,0.026176185016268325,0.14069149729012842,8.22280078205839,38.667722109260055,25.995102860684536
DS02,11,1,D,0.001,-1.1301326330524604,0.12178414724231253,0.012737766250970919,0.0024331986440027284,0.988037216107818,22.35005419140968,3.2806678016081876,25.995102860684536
DS02,11,1,B,0.0031622776601683794,-356.63433269715506,1.5780001446400975,1.1249617572608424,0.02586426462400318,0.14282035500556575,8.24395893913513,36.4019927469891,25.995102860684536
DS02,11,1,D,0.0031622776601683794,-1.1301181145624697,0.12178373221535409,0.01273772025211622,0.002433213922974958,0.9880372084839719,22.35005419502716,3.2806559596707885,25.995102860684536
