subset,unit,N,method,criterion,lam,skill,rmse,rmse_early,false_alarm,detect_corr,delta
DS02,11,1,B,L_curve,10.0,0.8175915545284903,0.035637719702593045,0.04060622320747616,0.021503323531702173,0.8846465958211995,25.995102860684536
DS02,11,1,B,Morozov_tau1.0,1000.0,0.7304272111899364,0.04332369227250398,0.011010114061945018,0.012529634231691096,0.9638725659786799,25.995102860684536
DS02,11,1,B,Morozov_tau1.5,3162.2776601683795,0.5001389512833052,0.05899457606133671,0.007627633563414248,0.008959450145394034,0.9702325054709445,25.995102860684536
DS02,11,1,B,Morozov_tau2.0,10000.0,0.2501757169429317,0.07225488049470084,0.006120927023232031,0.004977383830224211,0.9714253109421088,25.995102860684536
DS02,11,1,B,Morozov_tau3.0,10000.0,0.2501757169429317,0.07225488049470084,0.006120927023232031,0.004977383830224211,0.9714253109421088,25.995102860684536
DS02,11,1,B,oracle,100.0,0.9130290157923797,0.0246079042913472,0.02412234793552262,0.015080093918626542,0.9256115020636507,25.995102860684536
DS02,11,1,B,lam_dev,100.0,0.9130290157923797,0.0246079042913472,0.02412234793552262,0.015080093918626542,0.9256115020636507,25.995102860684536
DS02,11,1,D,L_curve,0.03162277660168379,-1.1299270366208218,0.1217782699110355,0.012737114844716164,0.002433414987303451,0.9880371081283038,25.995102860684536
DS02,11,1,D,Morozov_tau1.0,316.22776601683796,0.8933793813866755,0.02724633145678354,0.005272931051751181,0.006387966494412895,0.9747675464976934,25.995102860684536
DS02,11,1,D,Morozov_tau1.5,3162.2776601683795,0.5063058458332015,0.058629532198364684,0.0035363676941717356,0.005884355518565642,0.9864673967495431,25.995102860684536
DS02,11,1,D,Morozov_tau2.0,3162.2776601683795,0.5063058458332015,0.058629532198364684,0.0035363676941717356,0.005884355518565642,0.9864673967495431,25.995102860684536
DS02,11,1,D,Morozov_tau3.0,10000.0,0.2525230737042855,0.07214169335503572,0.0044210710551941,0.0031792932731550707,0.9883965741606131,25.995102860684536
DS02,11,1,D,oracle,100.0,0.9533260412301731,0.01802705383632883,0.008509740186588101,0.004039975771866911,0.9756099077657888,25.995102860684536
DS02,11,1,D,lam_dev,100.0,0.9533260412301731,0.01802705383632883,0.008509740186588101,0.004039975771866911,0.9756099077657888,25.995102860684536
DS02,11,10,B,L_curve,3.1622776601683795,0.9537781444653366,0.017939532635777616,0.016924893022971434,0.010196895596124715,0.9630930260583545,8.220373305012183
DS02,11,10,B,Morozov_tau1.0,316.22776601683796,0.894814327480827,0.027062363964164844,0.005924706986693516,0.008577341842404574,0.9927861011772668,8.220373305012183
DS02,11,10,B,Morozov_tau1.5,316.22776601683796,0.894814327480827,0.027062363964164844,0.005924706986693516,0.008577341842404574,0.9927861011772668,8.220373305012183
DS02,11,10,B,Morozov_tau2.0,1000.0,0.7362984365914296,0.042849305659768314,0.004198025340959251,0.009403073209162368,0.994735051232614,8.220373305012183
DS02,11,10,B,Morozov_tau3.0,1000.0,0.7362984365914296,0.042849305659768314,0.004198025340959251,0.009403073209162368,0.994735051232614,8.220373305012183
DS02,11,10,B,oracle,31.622776601683793,0.9677129700931072,0.014993446854194608,0.01195425123030153,0.0079749337636162,0.9788106723260825,8.220373305012183
DS02,11,10,B,lam_dev,31.622776601683793,0.9677129700931072,0.014993446854194608,0.01195425123030153,0.0079749337636162,0.9788106723260825,8.220373305012183
DS02,11,10,D,L_curve,10.0,0.960840948566969,0.016512145931347647,0.006726546348380271,0.0007388547592723522,0.9879737520536235,8.220373305012183
DS02,11,10,D,Morozov_tau1.0,1e-06,0.10250525855919279,0.0790502764270266,0.008009939117146862,0.0008319291382371336,0.9894831245411227,8.220373305012183
DS02,11,10,D,Morozov_tau1.5,316.22776601683796,0.897164087571033,0.02675838138991043,0.0030395936053894917,0.005042442138575053,0.9926663165010569,8.220373305012183
DS02,11,10,D,Morozov_tau2.0,316.22776601683796,0.897164087571033,0.02675838138991043,0.0030395936053894917,0.005042442138575053,0.9926663165010569,8.220373305012183
DS02,11,10,D,Morozov_tau3.0,1000.0,0.7388245896941696,0.04264357235412556,0.0030739330919089224,0.006659935835283415,0.9935408048052322,8.220373305012183
DS02,11,10,D,oracle,31.622776601683793,0.9746453701959488,0.013286667704322986,0.0049825120433712455,0.0010205368568290412,0.9906950281997308,8.220373305012183
DS02,11,10,D,lam_dev,100.0,0.9676231552199881,0.015014286481227615,0.0036555221071972502,0.002401711648553179,0.9921356955876662,8.220373305012183
DS02,11,100,B,L_curve,3.1622776601683795,0.9679592022169188,0.014936164810757152,0.011110656120457564,0.007933857626447863,0.9847621891214454,2.599510286068454
DS02,11,100,B,Morozov_tau1.0,0.31622776601683794,0.7039110519811524,0.04540446210744033,0.05794457058199618,0.008341756304995365,0.7934984637262353,2.599510286068454
DS02,11,100,B,Morozov_tau1.5,100.0,0.9673391925171206,0.01507998451122629,0.005886486720223344,0.0058341241954493386,0.9945614637064285,2.599510286068454
DS02,11,100,B,Morozov_tau2.0,100.0,0.9673391925171206,0.01507998451122629,0.005886486720223344,0.0058341241954493386,0.9945614637064285,2.599510286068454
DS02,11,100,B,Morozov_tau3.0,316.22776601683796,0.8966484934067018,0.02682537751584977,0.003953303647063851,0.007547443111118128,0.9960347874590392,2.599510286068454
DS02,11,100,B,oracle,31.622776601683793,0.9757752304618845,0.01298725188455239,0.007686531899198274,0.0059900581002602,0.991364945299757,2.599510286068454
DS02,11,100,B,lam_dev,31.622776601683793,0.9757752304618845,0.01298725188455239,0.007686531899198274,0.0059900581002602,0.991364945299757,2.599510286068454
DS02,11,100,D,L_curve,10.0,0.9676904765315968,0.014998668723487743,0.003308013930417674,0.0006900347992479088,0.992504481548543,2.599510286068454
DS02,11,100,D,Morozov_tau1.0,1e-06,0.045162316002042124,0.08153652755651766,0.007964915788292785,0.000738752596669786,0.9618247381298225,2.599510286068454
DS02,11,100,D,Morozov_tau1.5,1e-06,0.045162316002042124,0.08153652755651766,0.007964915788292785,0.000738752596669786,0.9618247381298225,2.599510286068454
DS02,11,100,D,Morozov_tau2.0,1e-06,0.045162316002042124,0.08153652755651766,0.007964915788292785,0.000738752596669786,0.9618247381298225,2.599510286068454
DS02,11,100,D,Morozov_tau3.0,100.0,0.9694121640394099,0.01459357897947014,0.002804299269274862,0.002184062079843593,0.9948373659638142,2.599510286068454
DS02,11,100,D,oracle,31.622776601683793,0.9789995574105569,0.012092098061397768,0.0030260551004726286,0.0009285972980218303,0.9950027624249952,2.599510286068454
DS02,11,100,D,lam_dev,31.622776601683793,0.9789995574105569,0.012092098061397768,0.0030260551004726286,0.0009285972980218303,0.9950027624249952,2.599510286068454
DS02,11,1000,B,L_curve,3.1622776601683795,0.9709624199555176,0.014218953913827057,0.010157437190843445,0.007350050201004655,0.9892470818915581,0.8220373305012185
DS02,11,1000,B,Morozov_tau1.0,1e-06,-24.38900217469468,0.4204460270256675,0.4745643934170632,0.009402439803551236,0.12105827232543691,0.8220373305012185
DS02,11,1000,B,Morozov_tau1.5,1e-06,-24.38900217469468,0.4204460270256675,0.4745643934170632,0.009402439803551236,0.12105827232543691,0.8220373305012185
DS02,11,1000,B,Morozov_tau2.0,1e-06,-24.38900217469468,0.4204460270256675,0.4745643934170632,0.009402439803551236,0.12105827232543691,0.8220373305012185
DS02,11,1000,B,Morozov_tau3.0,1.0,0.957431279377478,0.017216019090218408,0.017823426635421687,0.007599037078571581,0.9717747301619291,0.8220373305012185
DS02,11,1000,B,oracle,31.622776601683793,0.9769363476824996,0.01267218422176425,0.007433009075819886,0.0056116924385496815,0.9936465535919194,0.8220373305012185
DS02,11,1000,B,lam_dev,3.1622776601683795,0.9709624199555176,0.014218953913827057,0.010157437190843445,0.007350050201004655,0.9892470818915581,0.8220373305012185
DS02,11,1000,D,L_curve,10.0,0.97155328476718,0.014073544777291523,0.003225318501741799,0.0005642335733232045,0.9948787143338725,0.8220373305012185
DS02,11,1000,D,Morozov_tau1.0,1e-06,0.08167162494186386,0.07996251375113558,0.008073116542760652,0.0006575039901226432,0.9635289813410246,0.8220373305012185
DS02,11,1000,D,Morozov_tau1.5,1e-06,0.08167162494186386,0.07996251375113558,0.008073116542760652,0.0006575039901226432,0.9635289813410246,0.8220373305012185
DS02,11,1000,D,Morozov_tau2.0,1e-06,0.08167162494186386,0.07996251375113558,0.008073116542760652,0.0006575039901226432,0.9635289813410246,0.8220373305012185
DS02,11,1000,D,Morozov_tau3.0,1e-06,0.08167162494186386,0.07996251375113558,0.008073116542760652,0.0006575039901226432,0.9635289813410246,0.8220373305012185
DS02,11,1000,D,oracle,31.622776601683793,0.9800949406669321,0.011772512895529698,0.002945920266985037,0.0008100293691054622,0.9961939033607076,0.8220373305012185
DS02,11,1000,D,lam_dev,31.622776601683793,0.9800949406669321,0.011772512895529698,0.002945920266985037,0.0008100293691054622,0.9961939033607076,0.8220373305012185
DS02,14,1,B,L_curve,10.0,0.6764784325559018,0.04445421431822185,0.033538153354643094,0.02018446848480346,0.8274789439379132,28.239170155369955
DS02,14,1,B,Morozov_tau1.0,1000.0,0.5951538038407642,0.0497286135895862,0.009428648860899634,0.010452287158069376,0.943641083617516,28.239170155369955
DS02,14,1,B,Morozov_tau1.5,3162.2776601683795,0.40049752566647956,0.060514132226170025,0.007081189585140135,0.007494369197402236,0.9550018631413303,28.239170155369955
DS02,14,1,B,Morozov_tau2.0,10000.0,0.19784782001781476,0.06999865640240761,0.006099982652889789,0.004211284609291432,0.9589809005919072,28.239170155369955
DS02,14,1,B,Morozov_tau3.0,10000.0,0.19784782001781476,0.06999865640240761,0.006099982652889789,0.004211284609291432,0.9589809005919072,28.239170155369955
DS02,14,1,B,oracle,100.0,0.759102951497004,0.038359864058466336,0.02092007124752379,0.013837874865794976,0.8846599159634003,28.239170155369955
DS02,14,1,B,lam_dev,100.0,0.759102951497004,0.038359864058466336,0.02092007124752379,0.013837874865794976,0.8846599159634003,28.239170155369955
DS02,14,1,D,L_curve,0.03162277660168379,0.3980919430765528,0.06063542113652604,0.006128667649537146,0.0021147164790310856,0.990707830561151,28.239170155369955
DS02,14,1,D,Morozov_tau1.0,316.22776601683796,0.7560575193826027,0.038601576150223464,0.0034701372853912136,0.004778068056677229,0.982957369324959,28.239170155369955
DS02,14,1,D,Morozov_tau1.5,3162.2776601683795,0.4081563517507768,0.060126346521148656,0.004549777448370911,0.004410800678413459,0.9888664989041054,28.239170155369955
DS02,14,1,D,Morozov_tau2.0,10000.0,0.20063281510829933,0.06987703645171411,0.005133644421732701,0.00242990870863468,0.9893780596922478,28.239170155369955
DS02,14,1,D,Morozov_tau3.0,10000.0,0.20063281510829933,0.06987703645171411,0.005133644421732701,0.00242990870863468,0.9893780596922478,28.239170155369955
DS02,14,1,D,oracle,3.1622776601683795,0.9607819470748377,0.015477625496151,0.0038213431206173877,0.001974836408905563,0.9793764637793058,28.239170155369955
DS02,14,1,D,lam_dev,100.0,0.8406585405809166,0.031197925396748094,0.0036700631629944815,0.0030953583013716545,0.9807143133958474,28.239170155369955
DS02,14,10,B,L_curve,3.1622776601683795,0.8350670556680881,0.03174059224018372,0.012112815174961086,0.008269213616971508,0.9486683612600926,8.930009692402002
DS02,14,10,B,Morozov_tau1.0,316.22776601683796,0.7527314155197147,0.038863847316312566,0.005209222874176963,0.007491995734308412,0.9877893286003033,8.930009692402002
DS02,14,10,B,Morozov_tau1.5,316.22776601683796,0.7527314155197147,0.038863847316312566,0.005209222874176963,0.007491995734308412,0.9877893286003033,8.930009692402002
DS02,14,10,B,Morozov_tau2.0,1000.0,0.6142696395831639,0.048540386656298874,0.004618780728551844,0.0077472395002272446,0.9914327875558584,8.930009692402002
DS02,14,10,B,Morozov_tau3.0,3162.2776601683795,0.4120667889763032,0.059927383530483574,0.004802991395215201,0.005969239358455013,0.9928053764750179,8.930009692402002
DS02,14,10,B,oracle,31.622776601683793,0.8409194241758579,0.03117237535747951,0.00838114158353287,0.0069690407056312706,0.9683571623657219,8.930009692402002
DS02,14,10,B,lam_dev,31.622776601683793,0.8409194241758579,0.03117237535747951,0.00838114158353287,0.0069690407056312706,0.9683571623657219,8.930009692402002
DS02,14,10,D,L_curve,0.0031622776601683794,0.4008698316752124,0.06049533891423173,0.006048726362125509,0.0017880514617555545,0.7825253834869214,8.930009692402002
DS02,14,10,D,Morozov_tau1.0,1e-06,0.4008257472270026,0.06049756451955083,0.0060487545206077045,0.0017879861721717995,0.782526226747284,8.930009692402002
DS02,14,10,D,Morozov_tau1.5,316.22776601683796,0.758875250961605,0.0383779890180582,0.003092610010373152,0.004347701299939868,0.9936614282426915,8.930009692402002
DS02,14,10,D,Morozov_tau2.0,1000.0,0.6182605692682275,0.048288624052650594,0.003690893886819791,0.005248608367337612,0.9947502373689096,8.930009692402002
DS02,14,10,D,Morozov_tau3.0,1000.0,0.6182605692682275,0.048288624052650594,0.003690893886819791,0.005248608367337612,0.9947502373689096,8.930009692402002
DS02,14,10,D,oracle,1.0,0.9430241214514293,0.0186554975011849,0.006034800973192808,0.0015362097962199213,0.9766653048090345,8.930009692402002
DS02,14,10,D,lam_dev,100.0,0.8343879061382897,0.0318058747186912,0.00301105389726444,0.002674966577217811,0.9917240719320537,8.930009692402002
DS02,14,100,B,L_curve,3.1622776601683795,0.8512264256687521,0.03014561987266252,0.008355253224762068,0.00572931215345052,0.9750556353866032,2.8239170155369955
DS02,14,100,B,Morozov_tau1.0,31.622776601683793,0.8473718975149637,0.030533639408067432,0.005718868291250492,0.005007331630284176,0.9841382516039867,2.8239170155369955
DS02,14,100,B,Morozov_tau1.5,100.0,0.8246905754876647,0.032723816748270816,0.0042722466780983955,0.005305404706700917,0.9896392753086353,2.8239170155369955
