subset,unit,parameter,is_fault,rmse_pct,terminal_abs_error_pct,Z_zero_rmse_pct
DS02,11,HPT_eff_mod,1,0.0402726864921408,0.0880663884241018,0.397737196862457
DS02,11,fan_eff_mod,0,0.00239927495603606,0.00532004619783394,0
DS02,11,fan_flow_mod,0,0.0121006916150471,0.01856858398545,0
DS02,11,HPC_eff_mod,0,0.0124339118471201,0.0375041289369551,0
DS02,11,HPC_flow_mod,0,0.00495578804836752,0.0144520535198206,0
DS02,11,LPT_eff_mod,1,0.0169835802499016,0.0311675720125524,0.162960344369364
DS02,11,LPT_flow_mod,1,0.0881147479383959,0.194129000564411,0.406289095947613
DS02,11,LPC_eff_mod,0,0.0468420971869023,0.11995098492885,0
DS02,11,LPC_flow_mod,0,0.0142652432095268,0.0182622353701947,0
DS02,14,HPT_eff_mod,1,0.071054697080452,0.188763205618274,0.224112009999264
DS02,14,fan_eff_mod,0,0.00927620940815825,0.0101085148473208,0
DS02,14,fan_flow_mod,0,0.00744651523054779,0.0174457830118709,0
DS02,14,HPC_eff_mod,0,0.0429267168157032,0.118460189849766,0
DS02,14,HPC_flow_mod,0,0,0,0
DS02,14,LPT_eff_mod,1,0.124953431236272,0.329196672500974,0.290037281244735
DS02,14,LPT_flow_mod,1,0.224960290456741,0.600061203493997,0.608051975994413
DS02,14,LPC_eff_mod,0,0.0237819102628529,0.0435528903992978,0
DS02,14,LPC_flow_mod,0,0.0175547276850373,0.0446173103610386,0
DS02,15,HPT_eff_mod,1,0.0282232624919786,0.0542397633198505,0.339810834575503
DS02,15,fan_eff_mod,0,0.0433519467317203,0.0887222799550014,0
DS02,15,fan_flow_mod,0,0.00760625636872612,0.00882831380509513,0
DS02,15,HPC_eff_mod,0,0.0262409407891468,0.0555376562017519,0
DS02,15,HPC_flow_mod,0,0.00179884035708999,0.0021034489861518,0
DS02,15,LPT_eff_mod,1,0.0359763303817474,0.0567278690270916,0.365222236311981
DS02,15,LPT_flow_mod,1,0.025699332548751,0.0260163986897832,0.359315398892221
DS02,15,LPC_eff_mod,0,0,0,0
DS02,15,LPC_flow_mod,0,0.00311962252067233,0.00737485045468496,0
DS03,10,HPT_eff_mod,1,0.0179540311896646,0.0241984012844205,0.284094744907588
DS03,10,fan_eff_mod,0,0.0725520344800244,0.185206171211824,0
DS03,10,fan_flow_mod,0,0.00759837270793614,0.00771618396150137,0
DS03,10,HPC_eff_mod,0,0.0165215750570753,0.0285409959265449,0
DS03,10,HPC_flow_mod,0,0,0,0
DS03,10,LPT_eff_mod,1,0.10151461451573,0.235331595708194,0.729661691220006
DS03,10,LPT_flow_mod,1,0.0388604737308078,0.0954649912891306,0.219716651913499
DS03,10,LPC_eff_mod,0,0,0,0
DS03,10,LPC_flow_mod,0,0.0350415230980523,0.0548219697483379,0
DS03,11,HPT_eff_mod,1,0.0441312877044311,0.105728784582346,0.397737196862457
DS03,11,fan_eff_mod,0,0.00313548703585393,0.00694944499794235,0
DS03,11,fan_flow_mod,0,0.0144515685243226,0.0266717506266945,0
DS03,11,HPC_eff_mod,0,0.0175406221292197,0.0534873855138028,0
DS03,11,HPC_flow_mod,0,0.00320846442908577,0.00927466766047007,0
DS03,11,LPT_eff_mod,1,0.02420717830954,0.0516463839659078,0.162960344369364
DS03,11,LPT_flow_mod,1,0.0730159286850429,0.156322768738854,0.406289095947613
DS03,11,LPC_eff_mod,0,0.0311584418500612,0.0626793580107807,0
