subset,align_pct,unit,N,method,skill,rmse_early,false_alarm,detect_corr,rmse
DS02,2.548968189006109,11,1,Z_全零,0.0,0.0052992652588213715,0.0,0.0,0.08344252482394354
DS02,2.548968189006109,11,1,A_无约束无收缩,-427.0108535802873,1.2306558117915132,0.026338128352447584,0.1397067933890803,1.7262942645748782
DS02,2.548968189006109,11,1,B_无约束+收缩,0.9130290157923797,0.02412234793552262,0.015080093918626542,0.9256115020636507,0.0246079042913472
DS02,2.548968189006109,11,1,C_约束无收缩,-1.1301393475623764,0.012737787524458357,0.0024331915777040494,0.9880372196336278,0.12178433918346379
DS02,2.548968189006109,11,1,D_约束+收缩★,0.9533260412301731,0.008509740186588101,0.004039975771866911,0.9756099077657888,0.01802705383632883
DS02,2.548968189006109,11,10,Z_全零,0.0,0.0052992652588213715,0.0,0.0,0.08344252482394354
DS02,2.548968189006109,11,10,A_无约束无收缩,-43.654607821485044,0.6921664388323301,0.01261670779210026,0.04676681018847704,0.5575971898634967
DS02,2.548968189006109,11,10,B_无约束+收缩,0.9677129700931072,0.01195425123030153,0.0079749337636162,0.9788106723260825,0.014993446854194608
DS02,2.548968189006109,11,10,C_约束无收缩,0.10250164253015992,0.008009939129131397,0.0008319294980308735,0.9894829693082084,0.07905043567464862
DS02,2.548968189006109,11,10,D_约束+收缩★,0.9676231552199881,0.0036555221071972502,0.002401711648553179,0.9921356955876662,0.015014286481227615
DS02,2.548968189006109,11,100,Z_全零,0.0,0.0052992652588213715,0.0,0.0,0.08344252482394354
DS02,2.548968189006109,11,100,A_无约束无收缩,-32.30457517005085,0.5954871697119366,0.009980904351671815,0.11505405423515248,0.4815477807361505
DS02,2.548968189006109,11,100,B_无约束+收缩,0.9757752304618845,0.007686531899198274,0.0059900581002602,0.991364945299757,0.01298725188455239
DS02,2.548968189006109,11,100,C_约束无收缩,0.045138019006617514,0.007965259836164773,0.0007387544219454843,0.9618231034675254,0.08153756494751485
DS02,2.548968189006109,11,100,D_约束+收缩★,0.9789995574105569,0.0030260551004726286,0.0009285972980218303,0.9950027624249952,0.012092098061397768
DS02,2.548968189006109,11,1000,Z_全零,0.0,0.0052992652588213715,0.0,0.0,0.08344252482394354
DS02,2.548968189006109,11,1000,A_无约束无收缩,-24.3905274701818,0.47457850898255904,0.009402507419087838,0.12105360412396655,0.4204586564073101
DS02,2.548968189006109,11,1000,B_无约束+收缩,0.9709624199555176,0.010157437190843445,0.007350050201004655,0.9892470818915581,0.014218953913827057
DS02,2.548968189006109,11,1000,C_约束无收缩,0.08165131709947948,0.008073116573579404,0.0006575054396904569,0.9635283259361348,0.07996339788865796
DS02,2.548968189006109,11,1000,D_约束+收缩★,0.9800949406669321,0.002945920266985037,0.0008100293691054622,0.9961939033607076,0.011772512895529698
DS02,2.548968189006109,14,1,Z_全零,0.0,0.005612131201891212,0.0,0.0,0.07815581926593952
DS02,2.548968189006109,14,1,A_无约束无收缩,-309.46121929141896,1.5846668178642833,0.02561547988110264,0.03806969963116113,1.3770984812229004
DS02,2.548968189006109,14,1,B_无约束+收缩,0.759102951497004,0.02092007124752379,0.013837874865794976,0.8846599159634003,0.038359864058466336
