subset,unit,N,method,lam,skill,rmse,false_alarm,detect_corr
DS02,11,1,Z_全零哨兵,,0.0,0.08344252482394354,0.0,0.0
DS02,11,1,B_岭回归,1e-06,-426.9854126101383,1.726242958336805,0.02633796042767515,0.13970777814214802
DS02,11,1,D_约束+收缩★,1e-06,-1.1301393408478453,0.12178433899152219,0.0024331915847703956,0.988037219630102
DS02,11,1,B_岭回归,3.162277660168379e-06,-426.9304099349478,1.7261320304538645,0.02633759736182366,0.13970990745092157
DS02,11,1,D_约束+收缩★,3.162277660168379e-06,-1.130139326329163,0.12178433857649108,0.002433191600049804,0.9880372196224785
DS02,11,1,B_岭回归,1e-05,-426.7565460137667,1.7257813395872368,0.026336449553466014,0.13971664091419958
DS02,11,1,D_约束+收缩★,1e-05,-1.1301392804170667,0.12178433726404776,0.002433191648367511,0.9880372195983698
DS02,11,1,B_岭回归,3.1622776601683795e-05,-426.20743737108876,1.7246732960358147,0.026332822929381244,0.13973793396479509
DS02,11,1,D_约束+收缩★,3.1622776601683795e-05,-1.1301391352302805,0.12178433311373772,0.002433191801161504,0.9880372195221323
DS02,11,1,B_岭回归,0.0001,-424.47795021304836,1.7211787111566563,0.026321385095518738,0.13980526820301087
DS02,11,1,D_约束+收缩★,0.0001,-1.130138676109477,0.12178431998930773,0.002433192284338234,0.9880372192810477
DS02,11,1,B_岭回归,0.00031622776601683794,-419.0774657150632,1.7102205839078257,0.026285686801568568,0.1400181947534056
DS02,11,1,D_约束+收缩★,0.00031622776601683794,-1.130137224243326,0.12178427848624411,0.0024331938122742593,0.9880372185186712
DS02,11,1,B_岭回归,0.001,-402.6605321331154,1.6764692069257825,0.026176185016268325,0.14069149729012842
DS02,11,1,D_约束+收缩★,0.001,-1.1301326330524604,0.12178414724231253,0.0024331986440027284,0.988037216107818
DS02,11,1,B_岭回归,0.0031622776601683794,-356.63433269715506,1.5780001446400975,0.02586426462400318,0.14282035500556575
DS02,11,1,D_约束+收缩★,0.0031622776601683794,-1.1301181145624697,0.12178373221535409,0.002433213922974958,0.9880372084839719
DS02,11,1,B_岭回归,0.01,-253.39558490585745,1.3308901826398383,0.02518767920935688,0.14954900463373366
DS02,11,1,D_约束+收缩★,0.01,-1.1300722043690947,0.12178241981282012,0.0024332622363795044,0.9880371843746538
DS02,11,1,B_岭回归,0.03162277660168379,-112.8923387724101,0.8905015756337952,0.024645443240032996,0.17078415020145044
DS02,11,1,D_约束+收缩★,0.03162277660168379,-1.1299270366208218,0.1217782699110355,0.002433414987303451,0.9880371081283038
DS02,11,1,B_岭回归,0.1,-26.37060130909034,0.43654559058784614,0.02433005562096856,0.23720592601933746
DS02,11,1,D_约束+收缩★,0.1,-1.1294681061628422,0.12176514956300312,0.002433897733496687,0.9880368669562818
DS02,11,1,B_岭回归,0.31622776601683794,-3.2066527983216977,0.17114167208758904,0.02430545386653498,0.4292004418902205
DS02,11,1,D_约束+收缩★,0.31622776601683794,-0.7789734929334802,0.11129410853546207,0.0024122419074812606,0.9468213256355781
DS02,11,1,B_岭回归,1.0,0.3152827697468562,0.06904672194886455,0.024102626154847526,0.736662760320133
DS02,11,1,D_约束+收缩★,1.0,0.244373954891141,0.07253387775768154,0.002341107995275795,0.9822597717800794
DS02,11,1,B_岭回归,3.1622776601683795,0.7410839945406581,0.042458718854734144,0.023389316015051138,0.8616244826602877
DS02,11,1,D_约束+收缩★,3.1622776601683795,0.6727555878390139,0.04773353041482961,0.0022887716846557117,0.9838788987657364
DS02,11,1,B_岭回归,10.0,0.8175915545284903,0.035637719702593045,0.021503323531702173,0.8846465958211995
DS02,11,1,D_约束+收缩★,10.0,0.8712005541920391,0.029946387073944983,0.0022910044550413598,0.9810096719457536
DS02,11,1,B_岭回归,31.622776601683793,0.874721299345721,0.02953425748371048,0.017978795845856425,0.9009379058883313
DS02,11,1,D_约束+收缩★,31.622776601683793,0.9360295236403401,0.021104605038121827,0.0025286035873093807,0.9775308552255537
DS02,11,1,B_岭回归,100.0,0.9130290157923797,0.0246079042913472,0.015080093918626542,0.9256115020636507
DS02,11,1,D_约束+收缩★,100.0,0.9533260412301731,0.01802705383632883,0.004039975771866911,0.9756099077657888
DS02,11,1,B_岭回归,316.22776601683796,0.8725216140229983,0.029792415394066206,0.013935904773774193,0.9498629694820059
DS02,11,1,D_约束+收缩★,316.22776601683796,0.8933793813866755,0.02724633145678354,0.006387966494412895,0.9747675464976934
DS02,11,1,B_岭回归,1000.0,0.7304272111899364,0.04332369227250398,0.012529634231691096,0.9638725659786799
DS02,11,1,D_约束+收缩★,1000.0,0.7417752257954218,0.04240200469398206,0.007561411500045984,0.979340396544267
DS02,11,1,B_岭回归,3162.2776601683795,0.5001389512833052,0.05899457606133671,0.008959450145394034,0.9702325054709445
DS02,11,1,D_约束+收缩★,3162.2776601683795,0.5063058458332015,0.058629532198364684,0.005884355518565642,0.9864673967495431
DS02,11,1,B_岭回归,10000.0,0.2501757169429317,0.07225488049470084,0.004977383830224211,0.9714253109421088
DS02,11,1,D_约束+收缩★,10000.0,0.2525230737042855,0.07214169335503572,0.0031792932731550707,0.9883965741606131
DS02,11,10,Z_全零哨兵,,0.0,0.08344252482394354,0.0,0.0
DS02,11,10,B_岭回归,1e-06,-43.65193596391721,0.5575805080177666,0.01261663382852526,0.04677006260444616
DS02,11,10,D_约束+收缩★,1e-06,0.10250525855919279,0.0790502764270266,0.0008319291382371336,0.9894831245411227
DS02,11,10,B_岭回归,3.162277660168379e-06,-43.64615948375233,0.5575444406351326,0.012616473913780004,0.046777095210872
DS02,11,10,D_约束+收缩★,3.162277660168379e-06,0.1025130770310384,0.07904993210539543,0.0008319283602904302,0.9894834600716145
DS02,11,10,B_岭回归,1e-05,-43.627899998536385,0.5574304160951733,0.012615968354015884,0.046799334108745844
DS02,11,10,D_约束+收缩★,1e-05,0.10253779772624627,0.0790488434083434,0.000831925900452441,0.9894845199769069
DS02,11,10,B_岭回归,3.1622776601683795e-05,-43.570231848927584,0.5570701440220657,0.012614370983440095,0.04686965808500617
DS02,11,10,D_约束+收缩★,3.1622776601683795e-05,0.10261593661297852,0.0790454020806421,0.0008319181242157151,0.989487860349997
DS02,11,10,B_岭回归,0.0001,-43.38860046214148,0.5559339067611059,0.012609333113148564,0.04709202607755832
DS02,11,10,D_约束+收缩★,0.0001,0.1028626858956112,0.0790345339707681,0.0008318935581041264,0.989498310466033
DS02,11,10,B_岭回归,0.00031622776601683794,-42.82145680019552,0.5523709650787477,0.012593630852053388,0.04779505569607198
DS02,11,10,D_约束+收缩★,0.00031622776601683794,0.10363951823965079,0.07900030850833262,0.0008318161173236523,0.9895302367943609
DS02,11,10,B_岭回归,0.001,-41.09756161763138,0.5413970776958436,0.012546084849074457,0.0500166253787954
DS02,11,10,D_约束+收缩★,0.001,0.1111050735656246,0.07867063402995013,0.0008311912999454792,0.9898302604528376
