unit,N,lambda,skill,rmse,rmse_early,false_alarm,detect_corr
10,1000,31.6,0.983460874464605,0.0111999157657392,0.00373401173881424,0.00238618516742873,0.991630804689847
11,1000,31.6,0.981493622544931,0.0113513664629196,0.0026321304870128,0.000852276177968027,0.996645446904649
12,1000,31.6,0.947203466241075,0.0170866916950978,0.00357813536198714,0.00324036143893888,0.995533913040431
13,1000,31.6,0.989009710187197,0.00909560915740108,0.00305239175672161,0.00080017851390941,0.994153575565313
14,1000,31.6,0.856009850389678,0.0296570337493052,0.00223700121329741,0.001616917206217,0.994538395040005
15,1000,31.6,0.988206308802844,0.00850794741277818,0.00257923032606862,0.00166171483158138,0.996876606251132
