metric,locked_value,native_value,absolute_drift,decision_drift,switch_tolerance,within_switch_tolerance
cond_Hn,1562.79182019455,2048.97641268285,486.184592488293,0.311100036617652,0.01,0
DS03_skill,0.957563972105055,0.957716428170584,0.000152456065528606,0.000152456065528606,0.01,1
Z_zero_skill,0,0,0,0,0,1
