backend,subset,unit,N,lambda,method,skill,rmse,rmse_early,false_alarm,detect_corr
sklearn_histgb_compat,DS03,10,1000,31.6,Z_zero,0,0.0870880336072523,0.00552864209630066,0,0
sklearn_histgb_compat,DS03,10,1000,31.6,D,0.983460874464605,0.0111999157657392,0.00373401173881424,0.00238618516742873,0.991630804689847
sklearn_histgb_compat,DS03,11,1000,31.6,Z_zero,0,0.0834425248239435,0.00529926525882134,0,0
sklearn_histgb_compat,DS03,11,1000,31.6,D,0.981493622544931,0.0113513664629196,0.0026321304870128,0.000852276177968027,0.996645446904649
sklearn_histgb_compat,DS03,12,1000,31.6,Z_zero,0,0.0743627218988371,0.00684254205739459,0,0
sklearn_histgb_compat,DS03,12,1000,31.6,D,0.947203466241075,0.0170866916950978,0.00357813536198714,0.00324036143893888,0.995533913040431
sklearn_histgb_compat,DS03,13,1000,31.6,Z_zero,0,0.086761533158548,0.00643143728617267,0,0
sklearn_histgb_compat,DS03,13,1000,31.6,D,0.989009710187197,0.00909560915740108,0.00305239175672161,0.00080017851390941,0.994153575565313
sklearn_histgb_compat,DS03,14,1000,31.6,Z_zero,0,0.0781558192659395,0.00561213120189123,0,0
sklearn_histgb_compat,DS03,14,1000,31.6,D,0.856009850389678,0.0296570337493052,0.00223700121329741,0.001616917206217,0.994538395040005
sklearn_histgb_compat,DS03,15,1000,31.6,Z_zero,0,0.0783429499923344,0.00514505861483386,0,0
sklearn_histgb_compat,DS03,15,1000,31.6,D,0.988206308802844,0.00850794741277818,0.00257923032606862,0.00166171483158138,0.996876606251132
matlab_lsboost_control,DS03,10,1000,31.6,Z_zero,0,0.0870880336072523,0.00552864209630066,0,0
matlab_lsboost_control,DS03,10,1000,31.6,D,0.982587763987518,0.0114917390894735,0.00446322149654363,0.00287934141702642,0.99123352908119
matlab_lsboost_control,DS03,11,1000,31.6,Z_zero,0,0.0834425248239435,0.00529926525882134,0,0
matlab_lsboost_control,DS03,11,1000,31.6,D,0.980998385520423,0.0115022469585343,0.00318769697323604,0.000661287471905931,0.996463417529542
matlab_lsboost_control,DS03,12,1000,31.6,Z_zero,0,0.0743627218988371,0.00684254205739459,0,0
matlab_lsboost_control,DS03,12,1000,31.6,D,0.949103103030696,0.0167764833679089,0.00383522832025764,0.00215646407722906,0.995207526384515
matlab_lsboost_control,DS03,13,1000,31.6,Z_zero,0,0.086761533158548,0.00643143728617267,0,0
matlab_lsboost_control,DS03,13,1000,31.6,D,0.988161754249101,0.00943997607140806,0.00310139234833423,0.00137906335157577,0.994854114786378
matlab_lsboost_control,DS03,14,1000,31.6,Z_zero,0,0.0781558192659395,0.00561213120189123,0,0
matlab_lsboost_control,DS03,14,1000,31.6,D,0.855792793738306,0.0296793784455688,0.00225724493025157,0.00169085766911377,0.994262287107252
matlab_lsboost_control,DS03,15,1000,31.6,Z_zero,0,0.0783429499923344,0.00514505861483386,0,0
matlab_lsboost_control,DS03,15,1000,31.6,D,0.989654768497458,0.00796837983248778,0.00257935788621582,0.00175613340755194,0.996685894957693
