regime,parameter,component,n_units,precision,recall,F1,FAR
ood_combo,HPT_eff_mod,1,9,0.79737504407221,0.984848484848485,0.874560052244124,0.47719939827783
ood_combo,fan_eff_mod,2,9,0,0,0,0
ood_combo,fan_flow_mod,3,9,0,0,0,0.0442052611869909
ood_combo,HPC_eff_mod,4,9,0,0,0,0
ood_combo,HPC_flow_mod,5,9,0,0,0,0
ood_combo,LPT_eff_mod,6,9,0.854456692083811,0.99092970521542,0.911913932150557,0.300678628939498
ood_combo,LPT_flow_mod,7,9,0.980246913580247,0.871038137634452,0.918471643262729,0.0253968253968254
ood_combo,LPC_eff_mod,8,9,0,0,0,0.0112994350282486
ood_combo,LPC_flow_mod,9,9,0,0,0,0
test_id,HPT_eff_mod,1,5,0.194805194805195,0.2,0.197368421052632,0.159529411764706
test_id,fan_eff_mod,2,5,0.2,0.174074074074074,0.186138613861386,0.0692307692307692
test_id,fan_flow_mod,3,5,0.186206896551724,0.2,0.192857142857143,0.221333333333333
test_id,HPC_eff_mod,4,5,0.396969696969697,0.353571428571429,0.372210656180122,0.00571428571428571
test_id,HPC_flow_mod,5,5,0.4,0.360714285714286,0.378217821782178,0
test_id,LPT_eff_mod,6,5,0.176315789473684,0.2,0.187412587412587,0.276
test_id,LPT_flow_mod,7,5,0.2,0.11044776119403,0.142307692307692,0.084
test_id,LPC_eff_mod,8,5,0.2,0.121428571428571,0.151111111111111,0.0405797101449275
test_id,LPC_flow_mod,9,5,0.155555555555556,0.2,0.175,0.169744400527009
