regime,truth,prediction,count
ood_combo,0,0,102
ood_combo,1,0,0
ood_combo,2,0,0
ood_combo,3,0,0
ood_combo,0,1,98
ood_combo,1,1,5
ood_combo,2,1,18
ood_combo,3,1,0
ood_combo,0,2,24
ood_combo,1,2,0
ood_combo,2,2,196
ood_combo,3,2,8
ood_combo,0,3,0
ood_combo,1,3,0
ood_combo,2,3,11
ood_combo,3,3,178
test_id,0,0,83
test_id,1,0,0
test_id,2,0,0
test_id,3,0,0
test_id,0,1,31
test_id,1,1,32
test_id,2,1,23
test_id,3,1,0
test_id,0,2,1
test_id,1,2,4
test_id,2,2,134
test_id,3,2,19
test_id,0,3,0
test_id,1,3,0
test_id,2,3,0
test_id,3,3,105
