regime,metric,n_units,mean,ci_low,ci_high
ood_combo,detection_FAR,9,0.512357745030379,0.410611329878167,0.611772486772487
ood_combo,detection_DR,9,1,1,1
ood_combo,detection_F1,9,0.87473830271114,0.833630700585625,0.913792641294147
ood_combo,detection_delay,9,-13.5555555555556,-18.7222222222222,-8.55555555555556
ood_combo,isolation_microF1,9,0.888924234922176,0.851056918703219,0.920590126731355
ood_combo,isolation_macroF1,9,0.751415828524201,0.686137471590987,0.826842122558931
ood_combo,hamming_loss,9,0.0512651055276193,0.036210349592517,0.0694065051161591
ood_combo,stage_weighted_kappa,9,0.872067765040749,0.810236185865659,0.915644516311665
ood_combo,stage_MAE,9,0.275293866294361,0.204434400860832,0.350059428411946
ood_combo,unknown_rate,9,0,0,0
test_id,detection_FAR,5,0.320502164502165,0.0967619047619048,0.552363636363636
test_id,detection_DR,5,1,1,1
test_id,detection_F1,5,0.95111143376511,0.910885869855335,0.983435688457786
test_id,detection_delay,5,-6.4,-11.8,-2
test_id,isolation_microF1,5,0.733160128581815,0.581233447498508,0.853032893032893
test_id,isolation_macroF1,5,0.469305722164232,0.337627732184783,0.596441200373707
test_id,hamming_loss,5,0.11047254100451,0.061116415648385,0.158532595944361
test_id,stage_weighted_kappa,5,0.91852810194815,0.881863521941823,0.955980117060683
test_id,stage_MAE,5,0.183795921044003,0.0949855072463768,0.272606334841629
test_id,unknown_rate,5,0,0,0
