stage_components,regime,n_units,weighted_kappa,stage_MAE
2,test_id,5,0.886946233248157,0.129042166699456
2,ood_combo,9,0.819739307737447,0.249765318339529
3,test_id,5,0.91852810194815,0.183795921044003
3,ood_combo,9,0.872067765040749,0.275293866294361
4,test_id,5,0.939608668377097,0.231418847137517
4,ood_combo,9,0.875058845686739,0.363047297134773
