metric,label,arm,in_dist_median,ood_median,ood_to_in_ratio,ood_minus_in,ci_low,ci_high,ood_greater
terminal_median,Terminal median,truth,0.46475024939806,0.282284303116589,0.607389245045485,-0.182465946281471,-0.272229912858224,-0.0135407963148119,0
terminal_q75,Terminal Q75,truth,0.639263833305718,0.410085238405015,0.641496072575246,-0.229178594900703,-0.33122111011281,-0.17287066262796,0
terminal_q90,Terminal Q90,truth,0.778861143105062,0.549708370123897,0.705784817987442,-0.229152772981164,-0.399284138711131,-0.196664681510027,0
terminal_max,Terminal maximum,truth,0.854378411724432,0.633325864533655,0.741270912095478,-0.221052547190777,-0.440470864727365,-0.192116082768083,0
trajectory_rms,Trajectory RMS,truth,0.21300104089811,0.135693969801551,0.637057777884103,-0.077307071096559,-0.100970867273808,-0.0385510669270906,0
Z_zero,Z-zero sentinel,Z_zero,0,0,NaN,0,0,0,0
