regime,subset,unit,arm,n_cycles,terminal_median,terminal_q25,terminal_q75,terminal_q90,terminal_max,trajectory_rms
in_dist,DS05_id,5,truth,100,0.429742517622223,0.287014554551907,0.741306348517826,0.948992508835028,1.07379672926102,0.214794279166206
in_dist,DS05_id,5,Z_zero,100,0,0,0,0,0,0
in_dist,DS05_id,6,truth,67,0.499757981173897,0.437188750494829,0.597410890790276,0.746373051633925,0.825441947301738,0.211207802630014
in_dist,DS05_id,6,Z_zero,67,0,0,0,0,0,0
in_dist,DS07_id,5,truth,85,0.295825099431401,0.127594759885386,0.60561776592039,0.764792733580327,0.852996833870603,0.174245036728642
in_dist,DS07_id,5,Z_zero,85,0,0,0,0,0,0
in_dist,DS07_id,6,truth,74,0.554514215974813,0.458750149690716,0.672909900691046,0.792929552629797,0.855759989578261,0.236664837075359
in_dist,DS07_id,6,Z_zero,74,0,0,0,0,0,0
ood_combo,DS02,11,truth,59,0.289731424570214,0.114079350336754,0.459781839373904,0.566026520364873,0.633325864533655,0.144526692506897
ood_combo,DS02,11,Z_zero,59,0,0,0,0,0,0
ood_combo,DS02,14,truth,76,0.280881114838242,0.224240574862484,0.390280922395952,0.549708370123897,0.641647893363712,0.135369849875778
ood_combo,DS02,14,Z_zero,76,0,0,0,0,0,0
ood_combo,DS02,15,truth,67,0.282284303116589,0.240424909719741,0.386570967352864,0.484851217148928,0.542179203589859,0.135693969801551
ood_combo,DS02,15,Z_zero,67,0,0,0,0,0,0
ood_combo,DS03,10,truth,66,0.342407012707295,0.160132762388623,0.428382905385035,0.558100793360457,0.641913670396056,0.150840898939027
ood_combo,DS03,10,Z_zero,66,0,0,0,0,0,0
ood_combo,DS03,11,truth,59,0.289731424570214,0.114079350336754,0.459781839373904,0.566026520364873,0.633325864533655,0.144526692506897
ood_combo,DS03,11,Z_zero,59,0,0,0,0,0,0
ood_combo,DS03,12,truth,93,0.194540392026559,0.167852601891362,0.410085238405015,0.52978120637976,0.598486837375174,0.128800012517901
ood_combo,DS03,12,Z_zero,93,0,0,0,0,0,0
ood_combo,DS03,13,truth,77,0.348023487504151,0.155172836823385,0.424800988504654,0.528422401750084,0.589685010014352,0.150275383573177
ood_combo,DS03,13,Z_zero,77,0,0,0,0,0,0
ood_combo,DS03,14,truth,76,0.280881114838242,0.224240574862484,0.390280922395952,0.549708370123897,0.641647893363712,0.135369849875778
ood_combo,DS03,14,Z_zero,76,0,0,0,0,0,0
ood_combo,DS03,15,truth,67,0.282284303116589,0.240424909719741,0.386570967352864,0.484851217148928,0.542179203589859,0.135693969801551
ood_combo,DS03,15,Z_zero,67,0,0,0,0,0,0
