subset,unit,N,method,lambda,skill,rmse,rmse_early,false_alarm,detect_corr,res_norm,sol_norm,delta,tau_required
DS02,11,1,D,31.6227766016838,0.93602952364034,0.0211046050381218,0.0120175222074742,0.00252860358730938,0.977530855225554,22.6502933028488,1.98820692373513,25.9951028606845,0.871329243213172
DS02,11,10,D,31.6227766016838,0.974645370195949,0.013286667704323,0.00498251204337125,0.00102053685682904,0.990695028199731,8.59461807269463,1.92206582621667,8.22037330501218,1.04552649299446
DS02,11,100,D,31.6227766016838,0.978999557410557,0.0120920980613978,0.00302605510047263,0.00092859729802183,0.995002762424995,6.58001256403207,1.91608254122832,2.59951028606845,2.5312508280103
DS02,11,1000,D,31.6227766016838,0.980094940666932,0.0117725128955297,0.00294592026698504,0.000810029369105462,0.996193903360708,6.06720312794669,1.91687875112248,0.822037330501219,7.38069051468423
DS02,14,1,D,31.6227766016838,0.889128633477878,0.0260238184256136,0.00407379571337139,0.0021557018156438,0.979468537978598,26.1068411862771,1.74817104104455,28.23917015537,0.924490381361741
DS02,14,10,D,31.6227766016838,0.861864256882215,0.0290478741354625,0.00329130608926818,0.00177132685174238,0.989222075334816,10.3352355056367,1.76457867819271,8.930009692402,1.15735994266953
DS02,14,100,D,31.6227766016838,0.859478874531273,0.0292976056929441,0.00260502544482716,0.00169912008868807,0.992270702682895,6.50599207181701,1.75046065563563,2.823917015537,2.30388925595954
DS02,14,1000,D,31.6227766016838,0.861162983496661,0.0291215144268134,0.00235238362815936,0.00156980206924351,0.992797623190443,6.01693542058507,1.75382256072381,0.8930009692402,6.73788229558643
DS02,15,1,D,31.6227766016838,0.972505567553831,0.0129903933102012,0.00373871091308741,0.00327188932396092,0.988554456944246,25.467082481308,1.79949820533915,27.4397223447238,0.928110064721735
DS02,15,10,D,31.6227766016838,0.986617246534673,0.00906301418196463,0.00337740705722791,0.00194979950661957,0.994409396866335,10.1431655330326,1.82508669536218,8.67720209719431,1.16894425408304
DS02,15,100,D,31.6227766016838,0.990866337167153,0.00748725127836619,0.00279806394928002,0.00151776279641482,0.996605824551158,7.20043200782592,1.82594525748823,2.74397223447238,2.62409069500313
DS02,15,1000,D,31.6227766016838,0.990408354568773,0.00767266927864666,0.00273582946610377,0.00163917253524935,0.996789737665645,6.66099171697177,1.81669465372066,0.867720209719431,7.67642800336014
DS03,10,1,D,31.6227766016838,0.975574870876703,0.0136105889671963,0.00575356053557912,0.00229177717070376,0.981409762549749,24.4286758230862,2.16414837419801,29.4870169575731,0.828455311645631
DS03,10,10,D,31.6227766016838,0.976355450534428,0.013391339057575,0.00378076113228378,0.00258569354889939,0.988287990919556,8.42896666626605,1.89962924947953,9.32461349899396,0.903948101138504
DS03,10,100,D,31.6227766016838,0.980927706469747,0.0120270729616984,0.0033427822782488,0.00223995529539341,0.990423643143619,5.61791465071862,1.91723592755294,2.94870169575731,1.90521633938145
DS03,10,1000,D,31.6227766016838,0.983060621317611,0.011334626740564,0.00378628103975843,0.00231959125134327,0.992476327681333,5.44097529458959,1.93720589559899,0.932461349899396,5.83506790407626
DS03,11,1,D,31.6227766016838,0.923667789390584,0.0230537381777302,0.00290608044596555,0.00293977361430201,0.970434455987722,27.9689556272259,1.91152711463402,26.4080763354653,1.05910613374229
DS03,11,10,D,31.6227766016838,0.972661605866236,0.0137966592047862,0.00316909886451364,0.00112864986776746,0.989928007924015,9.34602740553036,1.88713219713517,8.35096698436632,1.11915511377627
DS03,11,100,D,31.6227766016838,0.980467435149738,0.0116618398771904,0.00294043435208899,0.000892426869026239,0.995442210527241,5.64836789811826,1.87469139356988,2.64080763354653,2.13887896504323
