regime,truth,prediction,count
ood_combo,0,0,170
ood_combo,1,0,2
ood_combo,2,0,6
ood_combo,3,0,0
ood_combo,0,1,52
ood_combo,1,1,17
ood_combo,2,1,26
ood_combo,3,1,0
ood_combo,0,2,2
ood_combo,1,2,0
ood_combo,2,2,229
ood_combo,3,2,14
ood_combo,0,3,0
ood_combo,1,3,0
ood_combo,2,3,0
ood_combo,3,3,122
test_id,0,0,100
test_id,1,0,15
test_id,2,0,8
test_id,3,0,0
test_id,0,1,26
test_id,1,1,38
test_id,2,1,25
test_id,3,1,0
test_id,0,2,0
test_id,1,2,0
test_id,2,2,113
test_id,3,2,27
test_id,0,3,0
test_id,1,3,0
test_id,2,3,0
test_id,3,3,77
