stage_components,regime,n_units,weighted_kappa,stage_MAE
2,test_id,5,0.870996723612004,0.187042992839794
2,ood_combo,9,0.90880797318958,0.141783028883024
3,test_id,5,0.878347673454332,0.269209226101796
3,ood_combo,9,0.922684158755608,0.173052865882708
4,test_id,5,0.892010772699618,0.347183989309352
4,ood_combo,9,0.895877855966001,0.281344212367136
