regime,truth,prediction,count
ood_combo,0,0,170
ood_combo,1,0,8
ood_combo,0,1,54
ood_combo,1,1,408
test_id,0,0,100
test_id,1,0,23
test_id,0,1,26
test_id,1,1,280
