scope,n_engine,rul_mae,rul_rmse,alpha_lambda,traj_rmse_pct
ID(分布内测试),5,1.1927083333333333,1.7032444529974746,0.5989583333333334,50%=23.1;60%=14.9;70%=13.0
OOD(未见组合),9,2.2871621621621623,2.981361016970859,0.2533783783783784,50%=28.8;60%=17.1;70%=13.5
