name,precision,recall,F1
风扇,1.0,1.0,1.0
高压压气机,0.9923371647509579,1.0,0.9961538461538462
低压压气机,0.9583333333333334,0.9745762711864406,0.9663865546218487
涡轮,1.0,0.9918032786885246,0.9958847736625515
