family,precision,recall,F1
HPT,0.9343065693430657,0.8050314465408805,0.8648648648648649
Fan,1.0,1.0,1.0
HPC,0.9923371647509579,1.0,0.9961538461538462
LPT,0.8769230769230769,0.6705882352941176,0.76
LPC,0.9583333333333334,0.9745762711864406,0.9663865546218487
