bin,rul_abs,traj,band,scope
0.4,5.0,0.25208710754999164,0.8,ID
0.5,2.413793103448276,0.15899974971021352,0.9655172413793104,ID
0.6,1.8604651162790697,0.13591646003635435,0.6046511627906976,ID
0.7,1.0952380952380953,0.11963482598054116,0.38095238095238093,ID
0.8,0.32558139534883723,0.09293910998846644,0.6744186046511628,ID
0.9,0.5428571428571428,0.06303969252885328,0.45714285714285713,ID
0.4,7.555555555555555,0.3278119784519862,0.07407407407407407,OOD
0.5,5.018518518518518,0.22466411789159255,0.1111111111111111,OOD
0.6,3.140625,0.145242081305209,0.265625,OOD
0.7,1.9841269841269842,0.11554064557633195,0.19047619047619047,OOD
0.8,0.7121212121212122,0.08192121563590915,0.36363636363636365,OOD
0.9,0.673469387755102,0.052518528213702856,0.32653061224489793,OOD
