regime,metric,n_units,mean,ci_low,ci_high
ood_combo,detection_FAR,9,0.237389770723104,0.0925925925925926,0.394532627865961
ood_combo,detection_DR,9,0.976361476614869,0.951645475858551,0.99623352165725
ood_combo,detection_F1,9,0.919639410438479,0.877820346484847,0.957868867151691
ood_combo,detection_delay,9,-6.11111111111111,-12.2222222222222,-0.166666666666667
ood_combo,isolation_microF1,9,0.763757127896792,0.71728196637453,0.816405266358955
ood_combo,isolation_macroF1,9,0.51935332701728,0.413598447704497,0.640717909504737
ood_combo,hamming_loss,9,0.0991045636832821,0.0787419042414138,0.117289801975815
ood_combo,stage_weighted_kappa,9,0.844121859930745,0.787834297680286,0.897994432804283
ood_combo,stage_MAE,9,0.300312311623271,0.221291736343596,0.383002961175628
ood_combo,unknown_rate,9,0.0033167495854063,0,0.0066334991708126
test_id,detection_FAR,5,0.27047619047619,0.00571428571428571,0.584761904761905
test_id,detection_DR,5,0.932088285229202,0.847877758913413,1
test_id,detection_F1,5,0.91178209939049,0.864721485411141,0.957512242696598
test_id,detection_delay,5,-4,-17.4,7.4
test_id,isolation_microF1,5,0.680429071149833,0.551159427584009,0.797288717288717
test_id,isolation_macroF1,5,0.542909169152282,0.33817514640581,0.725431069623089
test_id,hamming_loss,5,0.115414395335964,0.0885600804424334,0.140704826038159
test_id,stage_weighted_kappa,5,0.891096832440598,0.842714411674378,0.937253077198733
test_id,stage_MAE,5,0.218720965309201,0.145701357466063,0.289230769230769
test_id,unknown_rate,5,0,0,0
