detection_FAR,detection_DR,detection_precision,detection_F1,detection_delay,isolation_microF1,isolation_macroF1,hamming_loss,stage_weighted_kappa,stage_MAE,stage_reversals,unknown_rate,regime,subset,unit
0,0.789473684210526,1,0.882352941176471,12,0.446927374301676,0.206185567010309,0.146666666666667,0.8565965583174,0.266666666666667,0,0,test_id,DS01-005_id,2
0.523809523809524,1,0.877777777777778,0.93491124260355,-11,0.659459459459459,0.580798802476696,0.14,0.821891191709845,0.22,0,0,test_id,DS04_id,3
0.8,1,0.695652173913043,0.82051282051282,-28,0.683060109289618,0.467776223776224,0.130190796857464,0.867727438357828,0.333333333333333,0,0,test_id,DS05_id,4
0.0285714285714286,1,0.980392156862745,0.99009900990099,-1,0.755555555555556,0.604542807221899,0.0718954248366013,0.970984809694487,0.0941176470588235,0,0,test_id,DS07_id,5
0,0.870967741935484,1,0.931034482758621,8,0.857142857142857,0.855242445276283,0.0883190883190883,0.938284164123432,0.179487179487179,0,0,test_id,DS06_id,2
0.388888888888889,1,0.854166666666667,0.921348314606742,-7,0.722466960352423,0.381860024367131,0.11864406779661,0.787302223112357,0.372881355932203,0,0,ood_combo,DS02,11
0.514285714285714,1,0.694915254237288,0.82,-18,0.640569395017794,0.401937701396348,0.14766081871345,0.730872411202919,0.526315789473684,0,0,ood_combo,DS02,14
0,0.909090909090909,1,0.952380952380952,4,0.711711711711712,0.315356664754255,0.106135986733002,0.894654088050314,0.238805970149254,0,0.0149253731343284,ood_combo,DS02,15
0,0.918367346938776,1,0.957446808510638,4,0.923076923076923,0.922295789317066,0.0353535353535354,0.928659666460778,0.181818181818182,0,0,ood_combo,DS03,10
0.222222222222222,1,0.911111111111111,0.953488372093023,-4,0.80184331797235,0.542719919110212,0.0809792843691149,0.865168539325843,0.271186440677966,0,0,ood_combo,DS03,11
0.611111111111111,1,0.721518987341772,0.838235294117647,-22,0.750572082379863,0.688181649748273,0.130227001194743,0.711801669966428,0.451612903225806,0,0,ood_combo,DS03,12
0,0.983050847457627,1,0.991452991452991,1,0.780821917808219,0.491341508732813,0.0923520923520924,0.928032899246059,0.168831168831169,0,0,ood_combo,DS03,13
0.4,1,0.745454545454545,0.854166666666667,-14,0.797297297297297,0.540068542568543,0.087719298245614,0.803793916264452,0.342105263157895,0,0,ood_combo,DS03,14
0,0.976744186046512,1,0.988235294117647,1,0.745454545454545,0.390418143160879,0.0928689883913764,0.946811325747552,0.149253731343284,0,0.0149253731343284,ood_combo,DS03,15
