regime,parameter,component,n_units,precision,recall,F1,FAR
ood_combo,HPT_eff_mod,1,9,0.541880341880342,0.339140534262485,0.370721111582531,0.0246913580246914
ood_combo,fan_eff_mod,2,9,0,0,0,0
ood_combo,fan_flow_mod,3,9,0,0,0,0
ood_combo,HPC_eff_mod,4,9,0,0,0,0
ood_combo,HPC_flow_mod,5,9,0,0,0,0.0089664670995306
ood_combo,LPT_eff_mod,6,9,0.912025215838775,0.970069745746867,0.933910398486585,0.154056437389771
ood_combo,LPT_flow_mod,7,9,0.929030192323843,0.943942851610128,0.930859792631598,0.134567901234568
ood_combo,LPC_eff_mod,8,9,0,0,0,0.240832316971326
ood_combo,LPC_flow_mod,9,9,0,0,0,0.0135506677140613
test_id,HPT_eff_mod,1,5,0.2,0.140350877192982,0.164948453608247,0
test_id,fan_eff_mod,2,5,0.2,0.149367088607595,0.171014492753623,0
test_id,fan_flow_mod,3,5,0.2,0.159493670886076,0.177464788732394,0
test_id,HPC_eff_mod,4,5,0.4,0.335786290322581,0.363424299065421,0
test_id,HPC_flow_mod,5,5,0.362025316455696,0.345161290322581,0.3472452780864,0.0857142857142857
test_id,LPT_eff_mod,6,5,0.196078431372549,0.2,0.198019801980198,0.113835497835498
test_id,LPT_flow_mod,7,5,0.2,0.14,0.164705882352941,0.12
test_id,LPC_eff_mod,8,5,0.2,0.174193548387097,0.186206896551724,0.460289958407606
test_id,LPC_flow_mod,9,5,0.2,0.135483870967742,0.161538461538462,0
